YYYY-MM,nCommits,nAuthors,timestamp
2012-09,7,1,1346457600
2012-10,38,1,1349049600
2012-11,34,1,1351728000
2012-12,23,1,1354320000
2013-01,97,2,1356998400
2013-02,61,2,1359676800
2013-03,78,2,1362096000
2013-04,80,2,1364774400
2013-05,82,2,1367366400
2013-06,120,2,1370044800
2013-07,90,2,1372636800
2013-08,107,2,1375315200
2013-09,101,2,1377993600
2013-10,108,2,1380585600
2013-11,35,2,1383264000
2013-12,57,2,1385856000
2014-01,72,2,1388534400
2014-02,48,2,1391212800
2014-03,35,2,1393632000
2014-04,24,2,1396310400
2014-05,26,2,1398902400
2014-06,34,2,1401580800
2014-07,33,2,1404172800
2014-08,60,2,1406851200
2014-09,70,2,1409529600
2014-10,47,2,1412121600
2014-11,19,2,1414800000
2014-12,32,2,1417392000
2015-01,56,2,1420070400
2015-02,40,2,1422748800
2015-03,30,2,1425168000
2015-04,21,2,1427846400
2015-05,30,2,1430438400
2015-06,33,4,1433116800
2015-07,64,3,1435708800
2015-08,35,4,1438387200
2015-09,64,3,1441065600
2015-10,64,3,1443657600
2015-11,39,3,1446336000
2015-12,70,4,1448928000
2016-01,106,4,1451606400
2016-02,32,3,1454284800
2016-03,67,4,1456790400
2016-04,75,5,1459468800
2016-05,33,1,1462060800
2016-06,48,4,1464739200
2016-07,95,4,1467331200
2016-08,66,4,1470009600
2016-09,38,3,1472688000
2016-10,47,4,1475280000
2016-11,39,2,1477958400
2016-12,36,6,1480550400
2017-01,66,6,1483228800
2017-02,55,3,1485907200
2017-03,81,3,1488326400
2017-04,47,4,1491004800
2017-05,12,3,1493596800
2017-06,25,5,1496275200
2017-07,55,7,1498867200
2017-08,60,7,1501545600
2017-09,26,5,1504224000
2017-10,69,6,1506816000
2017-11,53,6,1509494400
2017-12,28,5,1512086400
2018-01,80,4,1514764800
2018-02,101,25,1517443200
2018-03,41,11,1519862400
2018-04,66,8,1522540800
2018-05,67,12,1525132800
2018-06,83,13,1527811200
2018-07,50,5,1530403200
2018-08,30,6,1533081600
2018-09,45,11,1535760000
2018-10,53,11,1538352000
2018-11,53,10,1541030400
2018-12,49,11,1543622400
2019-01,25,3,1546300800
2019-02,15,3,1548979200
2019-03,20,3,1551398400
2019-04,4,2,1554076800
2019-05,14,2,1556668800
