YYYY-MM,nCommits,nAuthors,timestamp
2010-10,61,4,1285891200
2010-11,108,4,1288569600
2010-12,67,4,1291161600
2011-01,189,4,1293840000
2011-02,352,5,1296518400
2011-03,346,12,1298937600
2011-04,276,9,1301616000
2011-05,394,11,1304208000
2011-06,243,12,1306886400
2011-07,159,9,1309478400
2011-08,619,13,1312156800
2011-09,342,11,1314835200
2011-10,273,8,1317427200
2011-11,517,17,1320105600
2011-12,159,12,1322697600
2012-01,97,9,1325376000
2012-02,169,10,1328054400
2012-03,276,11,1330560000
2012-04,293,16,1333238400
2012-05,493,20,1335830400
2012-06,633,15,1338508800
2012-07,503,21,1341100800
2012-08,266,16,1343779200
2012-09,182,16,1346457600
2012-10,73,9,1349049600
2012-11,339,9,1351728000
2012-12,421,17,1354320000
2013-01,454,18,1356998400
2013-02,143,15,1359676800
2013-03,180,12,1362096000
2013-04,333,11,1364774400
2013-05,417,13,1367366400
2013-06,794,15,1370044800
2013-07,282,16,1372636800
2013-08,97,13,1375315200
2013-09,190,11,1377993600
2013-10,38,8,1380585600
2013-11,2,2,1383264000
2013-12,20,6,1385856000
2014-01,91,9,1388534400
2014-02,18,5,1391212800
2014-03,45,10,1393632000
2014-04,85,8,1396310400
2014-05,66,8,1398902400
2014-06,139,6,1401580800
2014-07,181,8,1404172800
2014-08,426,9,1406851200
2014-09,356,17,1409529600
2014-10,508,13,1412121600
2014-11,304,12,1414800000
2014-12,155,12,1417392000
2015-01,137,10,1420070400
2015-02,52,7,1422748800
2015-03,100,9,1425168000
2015-04,197,9,1427846400
2015-05,43,6,1430438400
2015-06,34,8,1433116800
2015-07,18,6,1435708800
2015-08,16,5,1438387200
2015-09,64,10,1441065600
2015-10,52,9,1443657600
2015-11,48,7,1446336000
2015-12,30,7,1448928000
2016-01,56,5,1451606400
2016-02,86,6,1454284800
2016-03,13,3,1456790400
2016-04,33,4,1459468800
2016-05,5,4,1462060800
2016-06,2,1,1464739200
2016-09,11,4,1472688000
2016-10,3,2,1475280000
2016-11,12,2,1477958400
2016-12,2,1,1480550400
2017-01,6,4,1483228800
2017-02,8,8,1485907200
2017-04,1,1,1491004800
2017-05,7,6,1493596800
2017-08,6,5,1501545600
2017-12,3,1,1512086400
2018-04,2,1,1522540800
2018-07,42,1,1530403200
2018-10,22,8,1538352000
2018-11,3,2,1541030400
2019-01,2,1,1546300800
2019-02,2,2,1548979200
2019-03,3,2,1551398400
2019-12,18,3,1575158400
2020-01,2,2,1577836800
2020-05,2,2,1588291200
2020-06,3,1,1590969600
2020-07,13,4,1593561600
2020-08,4,3,1596240000
