YYYY-MM,nCommits,nAuthors,timestamp
2003-02,14,4,1044057600
2003-03,4,2,1046476800
2003-04,3,1,1049155200
2003-05,350,9,1051747200
2003-06,234,11,1054425600
2003-07,18,5,1057017600
2003-09,49,7,1062374400
2003-10,138,9,1064966400
2003-11,47,4,1067644800
2003-12,332,13,1070236800
2004-01,14,4,1072915200
2004-02,5,1,1075593600
2004-03,12,1,1078099200
2004-04,3,2,1080777600
2004-05,58,5,1083369600
2004-06,280,7,1086048000
2004-07,82,9,1088640000
2004-08,26,3,1091318400
2004-09,28,1,1093996800
2004-10,12,3,1096588800
2004-11,400,9,1099267200
2004-12,41,4,1101859200
2005-01,297,13,1104537600
2005-02,235,11,1107216000
2005-03,333,15,1109635200
2005-04,439,12,1112313600
2005-05,680,12,1114905600
2005-06,580,11,1117584000
2005-07,655,16,1120176000
2005-08,918,15,1122854400
2005-09,512,13,1125532800
2005-10,588,19,1128124800
2005-11,215,13,1130803200
2005-12,384,15,1133395200
2006-01,408,15,1136073600
2006-02,407,22,1138752000
2006-03,405,18,1141171200
2006-04,826,20,1143849600
2006-05,456,16,1146441600
2006-06,708,17,1149120000
2006-07,583,20,1151712000
2006-08,427,17,1154390400
2006-09,284,14,1157068800
2006-10,412,18,1159660800
2006-11,532,20,1162339200
2006-12,359,15,1164931200
2007-01,642,16,1167609600
2007-02,617,18,1170288000
2007-03,948,26,1172707200
2007-04,131,14,1175385600
2007-05,167,13,1177977600
2007-06,169,15,1180656000
2007-07,277,15,1183248000
2007-08,139,8,1185926400
2007-09,394,11,1188604800
2007-10,698,18,1191196800
2007-11,347,16,1193875200
2007-12,275,11,1196467200
2008-01,329,14,1199145600
2008-02,217,11,1201824000
2008-03,190,9,1204329600
2008-04,113,8,1207008000
2008-05,4,1,1209600000
2008-06,13,2,1212278400
2008-07,21,2,1214870400
2008-08,31,2,1217548800
2008-09,23,2,1220227200
2008-10,309,11,1222819200
2008-11,103,11,1225497600
2008-12,10,6,1228089600
2009-01,300,8,1230768000
2009-02,202,12,1233446400
2009-03,332,8,1235865600
2009-04,501,7,1238544000
2009-05,368,5,1241136000
2009-06,309,6,1243814400
2009-07,128,5,1246406400
2009-08,295,8,1249084800
2009-09,271,8,1251763200
2009-10,235,7,1254355200
2009-11,276,9,1257033600
2009-12,121,7,1259625600
2010-01,137,7,1262304000
2010-02,124,8,1264982400
2010-03,782,22,1267401600
2010-04,187,7,1270080000
2010-05,265,10,1272672000
2010-06,347,11,1275350400
2010-07,253,9,1277942400
2010-08,89,10,1280620800
2010-09,244,9,1283299200
2010-10,638,11,1285891200
2010-11,652,15,1288569600
2010-12,481,11,1291161600
2011-01,1151,20,1293840000
2011-02,851,16,1296518400
2011-03,752,24,1298937600
2011-04,774,25,1301616000
2011-05,718,16,1304208000
2011-06,583,22,1306886400
2011-07,858,26,1309478400
2011-08,769,23,1312156800
2011-09,627,17,1314835200
2011-10,896,20,1317427200
2011-11,1235,17,1320105600
2011-12,877,17,1322697600
2012-01,982,27,1325376000
2012-02,921,21,1328054400
2012-03,1027,35,1330560000
2012-04,677,19,1333238400
2012-05,390,14,1335830400
2012-06,601,21,1338508800
2012-07,586,25,1341100800
2012-08,459,18,1343779200
2012-09,628,16,1346457600
2012-10,944,21,1349049600
2012-11,487,16,1351728000
2012-12,520,22,1354320000
2013-01,1064,23,1356998400
2013-02,1038,29,1359676800
2013-03,986,27,1362096000
2013-04,867,22,1364774400
2013-05,911,19,1367366400
2013-06,418,18,1370044800
2013-07,688,25,1372636800
2013-08,603,30,1375315200
2013-09,388,17,1377993600
2013-10,585,20,1380585600
2013-11,447,18,1383264000
2013-12,217,16,1385856000
2014-01,382,18,1388534400
2014-02,515,15,1391212800
2014-03,809,19,1393632000
2014-04,751,27,1396310400
2014-05,692,24,1398902400
2014-06,431,15,1401580800
2014-07,326,26,1404172800
2014-08,605,22,1406851200
2014-09,506,19,1409529600
2014-10,547,21,1412121600
2014-11,409,20,1414800000
2014-12,415,14,1417392000
2015-01,401,19,1420070400
2015-02,577,18,1422748800
2015-03,501,20,1425168000
2015-04,305,11,1427846400
2015-05,680,13,1430438400
2015-06,630,16,1433116800
2015-07,353,11,1435708800
2015-08,588,16,1438387200
2015-09,566,15,1441065600
2015-10,570,16,1443657600
2015-11,583,22,1446336000
2015-12,429,16,1448928000
2016-01,493,17,1451606400
2016-02,566,16,1454284800
2016-03,768,20,1456790400
2016-04,315,18,1459468800
