YYYY-MM,nCommits,nAuthors,timestamp
2012-07,83,4,1341100800
2012-08,124,4,1343779200
2012-09,98,5,1346457600
2012-10,217,5,1349049600
2012-11,169,5,1351728000
2012-12,84,3,1354320000
2013-01,92,5,1356998400
2013-02,128,8,1359676800
2013-03,122,5,1362096000
2013-04,182,7,1364774400
2013-05,139,7,1367366400
2013-06,143,10,1370044800
2013-07,98,7,1372636800
2013-08,130,9,1375315200
2013-09,37,5,1377993600
2013-10,110,6,1380585600
2013-11,154,12,1383264000
2013-12,149,17,1385856000
2014-01,118,13,1388534400
2014-02,81,15,1391212800
2014-03,92,6,1393632000
2014-04,126,11,1396310400
2014-05,192,8,1398902400
2014-06,89,17,1401580800
2014-07,136,9,1404172800
2014-08,101,12,1406851200
2014-09,107,8,1409529600
2014-10,152,7,1412121600
2014-11,124,7,1414800000
2014-12,97,7,1417392000
2015-01,81,4,1420070400
2015-02,58,10,1422748800
2015-03,90,10,1425168000
2015-04,55,6,1427846400
2015-05,63,6,1430438400
2015-06,137,10,1433116800
2015-07,66,4,1435708800
2015-08,91,5,1438387200
2015-09,61,6,1441065600
2015-10,62,7,1443657600
2015-11,56,4,1446336000
2015-12,56,4,1448928000
2016-01,141,7,1451606400
2016-02,124,7,1454284800
2016-03,252,8,1456790400
2016-04,118,6,1459468800
2016-05,70,10,1462060800
2016-06,77,3,1464739200
2016-07,69,6,1467331200
2016-08,84,8,1470009600
2016-09,124,9,1472688000
2016-10,77,16,1475280000
2016-11,96,10,1477958400
2016-12,98,19,1480550400
2017-01,83,9,1483228800
2017-02,76,13,1485907200
2017-03,115,20,1488326400
2017-04,86,11,1491004800
2017-05,105,23,1493596800
2017-06,104,14,1496275200
2017-07,38,7,1498867200
2017-08,120,10,1501545600
2017-09,25,7,1504224000
2017-10,112,11,1506816000
2017-11,69,7,1509494400
2017-12,54,11,1512086400
2018-01,69,5,1514764800
2018-02,64,6,1517443200
2018-03,131,16,1519862400
2018-04,52,8,1522540800
2018-05,47,6,1525132800
2018-06,19,6,1527811200
2018-07,65,11,1530403200
2018-08,54,8,1533081600
2018-09,9,4,1535760000
2018-10,35,9,1538352000
2018-11,63,17,1541030400
2018-12,93,22,1543622400
2019-01,42,9,1546300800
2019-02,71,24,1548979200
2019-03,11,8,1551398400
2019-04,50,11,1554076800
2019-05,58,16,1556668800
2019-06,40,10,1559347200
2019-07,27,10,1561939200
2019-08,29,9,1564617600
2019-09,6,4,1567296000
2019-10,34,18,1569888000
2019-11,25,7,1572566400
2019-12,14,7,1575158400
2020-01,34,4,1577836800
2020-02,22,9,1580515200
2020-03,45,8,1583020800
2020-04,42,10,1585699200
2020-05,37,12,1588291200
2020-06,31,4,1590969600
2020-07,61,11,1593561600
2020-08,47,12,1596240000
2020-09,17,10,1598918400
