YYYY-MM,nCommits,nAuthors,timestamp
2011-06,4,2,1306886400
2011-08,12,2,1312156800
2011-10,1,1,1317427200
2011-12,4,1,1322697600
2012-01,1,1,1325376000
2012-02,6,2,1328054400
2012-03,16,1,1330560000
2012-04,19,1,1333238400
2012-05,105,7,1335830400
2012-06,113,9,1338508800
2012-07,140,7,1341100800
2012-08,135,11,1343779200
2012-09,169,8,1346457600
2012-10,247,8,1349049600
2012-11,47,5,1351728000
2012-12,18,5,1354320000
2013-01,115,6,1356998400
2013-02,315,5,1359676800
2013-03,66,5,1362096000
2013-04,267,6,1364774400
2013-05,231,11,1367366400
2013-06,464,12,1370044800
2013-07,337,11,1372636800
2013-08,852,10,1375315200
2013-09,36,6,1377993600
2013-10,34,4,1380585600
2013-11,36,4,1383264000
2013-12,8,4,1385856000
2014-01,8,3,1388534400
2014-03,42,5,1393632000
2014-04,14,3,1396310400
2014-05,36,6,1398902400
2014-06,31,5,1401580800
2014-07,51,7,1404172800
2014-08,36,10,1406851200
2014-09,29,4,1409529600
2014-10,12,2,1412121600
2014-11,50,4,1414800000
2014-12,66,7,1417392000
2015-01,12,4,1420070400
2015-02,1,1,1422748800
2015-03,8,3,1425168000
2015-04,39,5,1427846400
2015-05,135,7,1430438400
2015-06,47,5,1433116800
2015-07,99,9,1435708800
2015-08,104,6,1438387200
2015-09,25,4,1441065600
2015-10,9,3,1443657600
2015-11,5,3,1446336000
2015-12,4,3,1448928000
2016-01,15,5,1451606400
2016-02,11,3,1454284800
2016-03,31,3,1456790400
2016-04,23,3,1459468800
2016-05,50,5,1462060800
2016-06,75,4,1464739200
2016-07,178,10,1467331200
2016-08,92,8,1470009600
2016-09,224,3,1472688000
2016-10,345,5,1475280000
2016-11,229,2,1477958400
2016-12,116,2,1480550400
2017-01,115,2,1483228800
2017-02,186,2,1485907200
2017-03,135,5,1488326400
2017-04,140,3,1491004800
2017-05,228,8,1493596800
2017-06,284,9,1496275200
2017-07,293,11,1498867200
2017-08,434,11,1501545600
2017-09,117,5,1504224000
2017-10,51,3,1506816000
2017-11,81,6,1509494400
2017-12,77,4,1512086400
2018-01,83,3,1514764800
2018-02,141,5,1517443200
2018-03,161,8,1519862400
2018-04,111,10,1522540800
2018-05,197,9,1525132800
2018-06,219,8,1527811200
2018-07,44,7,1530403200
2018-08,100,5,1533081600
2018-09,150,7,1535760000
2018-10,208,13,1538352000
2018-11,121,7,1541030400
2018-12,66,11,1543622400
2019-01,135,11,1546300800
2019-02,181,24,1548979200
2019-03,331,16,1551398400
2019-04,285,25,1554076800
2019-05,503,26,1556668800
2019-06,305,24,1559347200
2019-07,628,19,1561939200
2019-08,362,21,1564617600
2019-09,283,13,1567296000
2019-10,1051,12,1569888000
2019-11,836,13,1572566400
2019-12,319,14,1575158400
2020-01,396,12,1577836800
2020-02,401,17,1580515200
2020-03,427,13,1583020800
2020-04,259,12,1585699200
2020-05,388,16,1588291200
2020-06,278,22,1590969600
2020-07,374,26,1593561600
2020-08,465,24,1596240000
2020-09,131,22,1598918400
