YYYY-MM,nCommits,nAuthors,timestamp
2011-11,30,6,1320105600
2011-12,22,3,1322697600
2012-01,18,3,1325376000
2012-02,21,2,1328054400
2012-03,24,2,1330560000
2012-04,3,2,1333238400
2012-05,77,5,1335830400
2012-06,61,5,1338508800
2012-07,16,4,1341100800
2012-08,32,4,1343779200
2012-09,19,3,1346457600
2012-10,46,4,1349049600
2012-11,19,2,1351728000
2012-12,11,2,1354320000
2013-01,44,4,1356998400
2013-02,9,2,1359676800
2013-03,32,3,1362096000
2013-04,29,2,1364774400
2013-05,27,3,1367366400
2013-06,23,3,1370044800
2013-07,17,3,1372636800
2013-08,9,3,1375315200
2013-09,18,3,1377993600
2013-10,20,4,1380585600
2013-11,28,4,1383264000
2013-12,11,3,1385856000
2014-01,68,4,1388534400
2014-02,49,4,1391212800
2014-03,9,2,1393632000
2014-04,37,4,1396310400
2014-05,42,7,1398902400
2014-06,63,7,1401580800
2014-07,24,3,1404172800
2014-08,6,3,1406851200
2014-09,3,2,1409529600
2014-10,40,7,1412121600
2014-11,41,7,1414800000
2014-12,59,10,1417392000
2015-01,38,7,1420070400
2015-02,36,8,1422748800
2015-03,19,9,1425168000
2015-04,80,12,1427846400
2015-05,32,9,1430438400
2015-06,53,13,1433116800
2015-07,33,6,1435708800
2015-08,66,10,1438387200
2015-09,137,14,1441065600
2015-10,158,12,1443657600
2015-11,79,10,1446336000
2015-12,89,11,1448928000
2016-01,109,13,1451606400
2016-02,64,13,1454284800
2016-03,90,13,1456790400
2016-04,54,9,1459468800
2016-05,133,9,1462060800
2016-06,67,10,1464739200
2016-07,22,4,1467331200
2016-08,82,13,1470009600
2016-09,75,10,1472688000
2016-10,103,13,1475280000
2016-11,105,13,1477958400
2016-12,66,14,1480550400
2017-01,77,11,1483228800
2017-02,75,11,1485907200
2017-03,120,10,1488326400
2017-04,98,16,1491004800
2017-05,98,16,1493596800
2017-06,199,20,1496275200
2017-07,94,10,1498867200
2017-08,131,11,1501545600
2017-09,70,11,1504224000
2017-10,107,14,1506816000
2017-11,41,14,1509494400
2017-12,31,9,1512086400
2018-01,74,10,1514764800
2018-02,44,12,1517443200
2018-03,64,15,1519862400
2018-04,41,10,1522540800
2018-05,63,13,1525132800
2018-06,54,11,1527811200
2018-07,57,11,1530403200
2018-08,61,10,1533081600
2018-09,57,9,1535760000
2018-10,28,11,1538352000
2018-11,10,5,1541030400
2018-12,15,7,1543622400
2019-01,72,11,1546300800
2019-02,34,12,1548979200
2019-03,46,14,1551398400
2019-04,50,10,1554076800
2019-05,23,9,1556668800
2019-06,38,9,1559347200
2019-07,56,6,1561939200
2019-08,62,9,1564617600
2019-09,62,9,1567296000
2019-10,54,10,1569888000
2019-11,64,8,1572566400
2019-12,88,11,1575158400
2020-01,66,9,1577836800
2020-02,20,8,1580515200
2020-03,24,10,1583020800
2020-04,28,7,1585699200
2020-05,26,4,1588291200
2020-06,24,5,1590969600
2020-07,22,9,1593561600
2020-08,19,3,1596240000
2020-09,3,3,1598918400
