YYYY-MM,nCommits,nAuthors,timestamp
2012-12,63,5,1354320000
2013-01,118,4,1356998400
2013-02,36,1,1359676800
2013-03,70,2,1362096000
2013-04,55,4,1364774400
2013-05,423,3,1367366400
2013-06,258,4,1370044800
2013-07,263,3,1372636800
2013-08,260,3,1375315200
2013-09,272,3,1377993600
2013-10,224,3,1380585600
2013-11,294,6,1383264000
2013-12,553,3,1385856000
2014-01,364,3,1388534400
2014-02,208,2,1391212800
2014-03,294,2,1393632000
2014-04,133,2,1396310400
2014-05,207,6,1398902400
2014-06,483,6,1401580800
2014-07,1074,10,1404172800
2014-08,470,5,1406851200
2014-09,295,7,1409529600
2014-10,348,8,1412121600
2014-11,227,6,1414800000
2014-12,427,8,1417392000
2015-01,212,8,1420070400
2015-02,242,4,1422748800
2015-03,48,4,1425168000
2015-04,28,3,1427846400
2015-05,26,3,1430438400
2015-06,35,4,1433116800
2015-07,33,5,1435708800
2015-08,26,3,1438387200
2015-09,16,3,1441065600
2015-10,20,3,1443657600
2015-11,33,3,1446336000
2015-12,12,3,1448928000
2016-01,40,4,1451606400
2016-02,22,5,1454284800
2016-03,23,4,1456790400
2016-04,22,5,1459468800
2016-05,10,2,1462060800
2016-06,17,3,1464739200
2016-07,2,1,1467331200
2016-08,14,6,1470009600
2016-10,1,1,1475280000
2017-02,7,2,1485907200
2017-04,12,10,1491004800
2017-05,1,1,1493596800
2017-07,8,3,1498867200
2017-08,7,2,1501545600
2018-03,5,4,1519862400
2018-11,2,1,1541030400
