YYYY-MM,nCommits,nAuthors,timestamp
2008-04,37,6,1207008000
2008-05,23,5,1209600000
2008-06,7,1,1212278400
2008-07,34,5,1214870400
2008-08,47,7,1217548800
2008-09,18,3,1220227200
2008-10,19,4,1222819200
2008-11,20,4,1225497600
2008-12,27,2,1228089600
2009-01,12,3,1230768000
2009-02,13,2,1233446400
2009-03,31,6,1235865600
2009-04,13,4,1238544000
2009-05,11,4,1241136000
2009-06,20,4,1243814400
2009-07,10,4,1246406400
2009-08,21,3,1249084800
2009-09,12,1,1251763200
2009-10,29,3,1254355200
2009-11,19,2,1257033600
2009-12,22,2,1259625600
2010-01,16,2,1262304000
2010-02,27,3,1264982400
2010-03,14,1,1267401600
2010-04,19,3,1270080000
2010-05,18,4,1272672000
2010-06,26,4,1275350400
2010-07,11,3,1277942400
2010-08,16,4,1280620800
2010-09,13,2,1283299200
2010-10,18,3,1285891200
2010-11,8,2,1288569600
2010-12,12,1,1291161600
2011-01,15,2,1293840000
2011-02,9,1,1296518400
2011-03,8,2,1298937600
2011-04,11,3,1301616000
2011-05,6,2,1304208000
2011-06,5,2,1306886400
2011-07,8,1,1309478400
2011-08,10,3,1312156800
2011-09,22,3,1314835200
2011-10,24,4,1317427200
2011-11,17,2,1320105600
2011-12,23,3,1322697600
2012-01,9,1,1325376000
2012-02,29,3,1328054400
2012-03,15,7,1330560000
2012-04,9,2,1333238400
2012-05,16,4,1335830400
2012-06,16,1,1338508800
2012-07,9,2,1341100800
2012-08,19,2,1343779200
2012-09,13,4,1346457600
2012-10,7,4,1349049600
2012-11,11,1,1351728000
2012-12,14,1,1354320000
2013-01,15,3,1356998400
2013-02,12,4,1359676800
2013-03,13,1,1362096000
2013-04,17,2,1364774400
2013-05,8,1,1367366400
2013-06,8,1,1370044800
2013-07,25,3,1372636800
2013-08,15,1,1375315200
2013-09,11,5,1377993600
2013-10,18,1,1380585600
2013-11,12,2,1383264000
2013-12,14,3,1385856000
2014-01,20,4,1388534400
2014-02,8,2,1391212800
2014-03,17,5,1393632000
2014-04,18,4,1396310400
2014-05,21,4,1398902400
2014-06,14,2,1401580800
2014-07,14,5,1404172800
2014-08,16,5,1406851200
2014-09,9,1,1409529600
2014-10,18,5,1412121600
2014-11,18,2,1414800000
2014-12,11,2,1417392000
2015-01,15,4,1420070400
2015-02,7,2,1422748800
2015-03,10,2,1425168000
2015-04,9,1,1427846400
2015-05,23,4,1430438400
2015-06,15,4,1433116800
2015-07,13,3,1435708800
2015-08,12,5,1438387200
2015-09,14,3,1441065600
2015-10,12,4,1443657600
2015-11,7,2,1446336000
2015-12,17,5,1448928000
2016-01,10,3,1451606400
2016-02,6,2,1454284800
2016-03,18,4,1456790400
2016-04,25,7,1459468800
2016-05,6,3,1462060800
2016-06,8,1,1464739200
2016-07,13,4,1467331200
2016-08,15,4,1470009600
2016-09,24,4,1472688000
2016-10,15,5,1475280000
2016-11,23,7,1477958400
2016-12,13,5,1480550400
2017-01,7,2,1483228800
2017-02,12,1,1485907200
2017-03,10,3,1488326400
2017-04,13,5,1491004800
2017-05,12,3,1493596800
2017-06,15,6,1496275200
2017-07,11,2,1498867200
2017-08,5,4,1501545600
2017-09,15,4,1504224000
2017-10,10,4,1506816000
2017-11,8,5,1509494400
2017-12,8,5,1512086400
2018-01,9,2,1514764800
2018-02,12,5,1517443200
2018-03,17,5,1519862400
2018-04,18,5,1522540800
2018-05,4,2,1525132800
2018-06,6,1,1527811200
2018-07,9,2,1530403200
2018-08,15,5,1533081600
2018-09,15,2,1535760000
2018-10,11,4,1538352000
2018-11,13,4,1541030400
2018-12,1,1,1543622400
2019-01,10,2,1546300800
2019-02,9,3,1548979200
2019-03,11,5,1551398400
2019-04,9,4,1554076800
2019-05,7,5,1556668800
2019-06,2,1,1559347200
2019-07,9,4,1561939200
2019-08,18,6,1564617600
2019-09,5,3,1567296000
2019-10,12,6,1569888000
2019-11,10,4,1572566400
2019-12,10,4,1575158400
2020-01,13,5,1577836800
2020-02,17,3,1580515200
2020-03,21,6,1583020800
2020-04,21,5,1585699200
2020-05,16,3,1588291200
2020-06,12,5,1590969600
2020-07,11,3,1593561600
2020-08,8,1,1596240000
2020-09,1,1,1598918400
