YYYY-MM,nCommits,nAuthors,timestamp
2011-06,10,2,1306886400
2011-08,3,1,1312156800
2011-09,12,1,1314835200
2011-11,22,2,1320105600
2011-12,3,1,1322697600
2012-01,1,1,1325376000
2012-02,2,1,1328054400
2012-04,9,1,1333238400
2012-08,8,1,1343779200
2013-05,5,1,1367366400
2013-06,1,1,1370044800
2013-07,3,1,1372636800
2013-09,7,2,1377993600
2013-10,3,1,1380585600
2013-11,1,1,1383264000
2014-01,5,2,1388534400
2014-04,1,1,1396310400
2014-05,27,3,1398902400
2014-06,47,4,1401580800
2014-07,29,6,1404172800
2014-08,27,6,1406851200
2014-09,38,6,1409529600
2014-10,126,7,1412121600
2014-11,17,4,1414800000
2014-12,36,5,1417392000
2015-01,66,4,1420070400
2015-02,88,6,1422748800
2015-03,39,6,1425168000
2015-04,22,5,1427846400
2015-05,68,8,1430438400
2015-06,147,7,1433116800
2015-07,174,10,1435708800
2015-08,70,8,1438387200
2015-09,37,7,1441065600
2015-10,100,6,1443657600
2015-11,75,7,1446336000
2015-12,39,6,1448928000
2016-01,29,10,1451606400
2016-02,33,5,1454284800
2016-03,58,9,1456790400
2016-04,85,8,1459468800
2016-05,64,5,1462060800
2016-06,80,6,1464739200
2016-07,64,7,1467331200
2016-08,15,4,1470009600
2016-09,37,6,1472688000
2016-10,50,11,1475280000
2016-11,171,10,1477958400
2016-12,57,10,1480550400
2017-01,95,13,1483228800
2017-02,152,13,1485907200
2017-03,166,13,1488326400
2017-04,140,19,1491004800
2017-05,198,17,1493596800
2017-06,180,14,1496275200
2017-07,95,12,1498867200
2017-08,90,18,1501545600
2017-09,70,8,1504224000
2017-10,118,10,1506816000
2017-11,47,7,1509494400
2017-12,49,8,1512086400
2018-01,72,15,1514764800
2018-02,86,9,1517443200
2018-03,77,9,1519862400
2018-04,29,6,1522540800
2018-05,78,9,1525132800
2018-06,13,4,1527811200
2018-07,29,5,1530403200
2018-08,88,7,1533081600
2018-09,65,11,1535760000
2018-10,24,6,1538352000
2018-11,44,7,1541030400
2018-12,197,8,1543622400
2019-01,73,9,1546300800
2019-02,83,6,1548979200
2019-03,52,7,1551398400
2019-04,47,7,1554076800
2019-05,45,5,1556668800
2019-06,62,7,1559347200
2019-07,55,7,1561939200
2019-08,57,5,1564617600
2019-09,46,5,1567296000
2019-10,66,11,1569888000
2019-11,38,8,1572566400
2019-12,19,4,1575158400
2020-01,52,6,1577836800
2020-02,36,10,1580515200
2020-03,52,12,1583020800
2020-04,53,10,1585699200
2020-05,40,7,1588291200
2020-06,83,9,1590969600
2020-07,42,8,1593561600
2020-08,38,12,1596240000
