YYYY-MM,nCommits,nAuthors,timestamp
2007-10,10,2,1191196800
2007-11,23,3,1193875200
2007-12,17,3,1196467200
2008-01,47,4,1199145600
2008-02,60,3,1201824000
2008-03,18,5,1204329600
2008-04,66,7,1207008000
2008-05,135,8,1209600000
2008-06,130,7,1212278400
2008-07,477,9,1214870400
2008-08,395,10,1217548800
2008-09,7,5,1220227200
2008-10,95,10,1222819200
2008-11,520,15,1225497600
2008-12,521,15,1228089600
2009-01,144,16,1230768000
2009-02,107,9,1233446400
2009-03,219,10,1235865600
2009-04,662,15,1238544000
2009-05,682,14,1241136000
2009-06,580,14,1243814400
2009-07,142,11,1246406400
2009-08,449,15,1249084800
2009-09,250,16,1251763200
2009-10,73,10,1254355200
2009-11,183,16,1257033600
2009-12,212,11,1259625600
2010-01,209,10,1262304000
2010-02,581,16,1264982400
2010-03,323,13,1267401600
2010-04,229,17,1270080000
2010-05,231,10,1272672000
2010-06,170,13,1275350400
2010-07,727,17,1277942400
2010-08,565,14,1280620800
2010-09,347,16,1283299200
2010-10,626,16,1285891200
2010-11,348,17,1288569600
2010-12,226,16,1291161600
2011-01,114,10,1293840000
2011-02,162,11,1296518400
2011-03,114,9,1298937600
2011-04,139,13,1301616000
2011-05,486,13,1304208000
2011-06,688,16,1306886400
2011-07,608,19,1309478400
2011-08,770,20,1312156800
2011-09,573,26,1314835200
2011-10,209,16,1317427200
2011-11,314,22,1320105600
2011-12,414,19,1322697600
2012-01,689,21,1325376000
2012-02,955,20,1328054400
2012-03,685,25,1330560000
2012-04,506,28,1333238400
2012-05,446,27,1335830400
2012-06,395,27,1338508800
2012-07,555,40,1341100800
2012-08,798,30,1343779200
2012-09,804,42,1346457600
2012-10,639,39,1349049600
2012-11,268,30,1351728000
2012-12,205,29,1354320000
2013-01,510,46,1356998400
2013-02,396,29,1359676800
2013-03,439,35,1362096000
2013-04,556,43,1364774400
2013-05,558,34,1367366400
2013-06,411,33,1370044800
2013-07,402,44,1372636800
2013-08,397,38,1375315200
2013-09,430,34,1377993600
2013-10,299,32,1380585600
2013-11,253,27,1383264000
2013-12,211,28,1385856000
2014-01,255,31,1388534400
2014-02,242,37,1391212800
2014-03,212,39,1393632000
2014-04,152,28,1396310400
2014-05,157,31,1398902400
2014-06,78,13,1401580800
2014-07,54,14,1404172800
2014-08,62,16,1406851200
2014-09,113,14,1409529600
2014-10,60,27,1412121600
2014-11,11,7,1414800000
2014-12,2,1,1417392000
2015-01,2,2,1420070400
2015-06,2,1,1433116800
2015-08,1,1,1438387200
2016-04,6,2,1459468800
2016-05,2,2,1462060800
2016-10,2,1,1475280000
2016-11,12,7,1477958400
2016-12,11,10,1480550400
2017-01,9,8,1483228800
2017-02,4,4,1485907200
2017-04,84,52,1491004800
2017-08,1,1,1501545600
2018-08,2,2,1533081600
2019-01,11,2,1546300800
2019-04,2,1,1554076800
2019-10,4,3,1569888000
