YYYY-MM,nCommits,nAuthors,timestamp
2010-03,19,2,1267401600
2010-04,18,2,1270080000
2010-05,15,5,1272672000
2010-06,10,4,1275350400
2010-07,41,1,1277942400
2010-08,25,1,1280620800
2010-09,52,8,1283299200
2010-10,81,3,1285891200
2010-11,40,3,1288569600
2010-12,17,2,1291161600
2011-01,16,2,1293840000
2011-02,24,5,1296518400
2011-03,15,3,1298937600
2011-05,203,2,1304208000
2011-06,276,5,1306886400
2011-07,99,11,1309478400
2011-08,76,6,1312156800
2011-09,37,5,1314835200
2011-10,100,7,1317427200
2011-11,37,10,1320105600
2011-12,8,4,1322697600
2012-01,6,1,1325376000
2012-02,16,4,1328054400
2012-03,25,5,1330560000
2012-04,24,5,1333238400
2012-05,4,3,1335830400
2012-06,2,2,1338508800
2012-07,22,8,1341100800
2012-08,23,5,1343779200
2012-09,8,5,1346457600
2012-10,3,3,1349049600
2012-11,11,4,1351728000
2012-12,103,2,1354320000
2013-01,3,1,1356998400
2013-02,3,2,1359676800
2013-03,2,2,1362096000
