YYYY-MM,nCommits,nAuthors,timestamp
2014-03,4,1,1393632000
2014-04,87,3,1396310400
2014-05,65,3,1398902400
2014-06,31,3,1401580800
2014-07,64,5,1404172800
2014-08,101,8,1406851200
2014-09,87,9,1409529600
2014-10,120,8,1412121600
2014-11,166,8,1414800000
2014-12,183,6,1417392000
2015-01,170,7,1420070400
2015-02,146,6,1422748800
2015-03,294,7,1425168000
2015-04,223,6,1427846400
2015-05,244,10,1430438400
2015-06,321,8,1433116800
2015-07,323,9,1435708800
2015-08,315,15,1438387200
2015-09,388,15,1441065600
2015-10,443,20,1443657600
2015-11,351,14,1446336000
2015-12,320,15,1448928000
2016-01,30,12,1451606400
2016-02,297,12,1454284800
2016-03,786,13,1456790400
2016-04,637,17,1459468800
2016-05,240,9,1462060800
