YYYY-MM,nCommits,nAuthors,timestamp
2011-07,1,1,1309478400
2011-08,5,1,1312156800
2011-09,4,1,1314835200
2011-10,7,1,1317427200
2011-11,12,2,1320105600
2011-12,1,1,1322697600
2012-02,6,3,1328054400
2012-03,5,3,1330560000
2012-04,2,2,1333238400
2012-05,4,2,1335830400
2012-06,2,2,1338508800
2012-07,5,3,1341100800
2012-08,3,2,1343779200
2012-09,5,4,1346457600
2012-10,3,2,1349049600
2012-11,2,1,1351728000
2012-12,6,2,1354320000
2013-01,4,2,1356998400
2013-02,11,3,1359676800
2013-03,6,3,1362096000
2013-04,9,3,1364774400
2013-05,15,3,1367366400
2013-06,22,1,1370044800
2013-07,12,2,1372636800
2013-08,3,3,1375315200
2013-09,7,3,1377993600
2013-10,10,4,1380585600
2013-11,5,2,1383264000
2013-12,6,4,1385856000
2014-01,8,3,1388534400
2014-02,21,2,1391212800
2014-03,29,2,1393632000
2014-04,2,1,1396310400
