YYYY-MM,nCommits,nAuthors,timestamp
2009-11,97,1,1257033600
2009-12,69,1,1259625600
2010-01,41,2,1262304000
2010-02,58,3,1264982400
2010-03,125,4,1267401600
2010-04,122,2,1270080000
2010-05,135,6,1272672000
2010-06,147,2,1275350400
2010-07,14,3,1277942400
2010-08,108,7,1280620800
2010-09,9,2,1283299200
2010-10,129,9,1285891200
2010-11,148,10,1288569600
2010-12,153,10,1291161600
2011-01,202,9,1293840000
2011-02,232,11,1296518400
2011-03,150,6,1298937600
2011-04,115,11,1301616000
2011-05,48,7,1304208000
2011-06,23,4,1306886400
2011-07,156,4,1309478400
2011-08,175,6,1312156800
2011-09,48,7,1314835200
2011-10,7,6,1317427200
2011-11,53,8,1320105600
2011-12,61,10,1322697600
2012-01,16,6,1325376000
2012-02,72,9,1328054400
2012-03,38,13,1330560000
2012-04,80,11,1333238400
2012-05,12,8,1335830400
2012-06,56,5,1338508800
2012-07,25,4,1341100800
2012-08,16,3,1343779200
2012-09,36,5,1346457600
2012-10,25,8,1349049600
2012-11,19,2,1351728000
2012-12,17,3,1354320000
2013-01,10,3,1356998400
2013-02,39,6,1359676800
2013-03,19,6,1362096000
2013-04,6,4,1364774400
2013-05,4,2,1367366400
2013-06,19,4,1370044800
2013-07,11,3,1372636800
2013-08,10,4,1375315200
2013-09,12,3,1377993600
2013-10,26,6,1380585600
2013-11,26,4,1383264000
2013-12,22,3,1385856000
2014-01,7,2,1388534400
2014-02,19,3,1391212800
2014-03,32,3,1393632000
2014-04,31,3,1396310400
2014-05,18,2,1398902400
2014-06,22,3,1401580800
2014-07,13,2,1404172800
2014-08,11,4,1406851200
2014-09,8,1,1409529600
2014-10,7,1,1412121600
2014-11,5,2,1414800000
