YYYY-MM,nCommits,nAuthors,timestamp
2013-09,23,7,1377993600
2013-10,311,13,1380585600
2013-11,501,18,1383264000
2013-12,541,23,1385856000
2014-01,844,18,1388534400
2014-02,622,19,1391212800
2014-03,478,18,1393632000
2014-04,525,17,1396310400
2014-05,972,14,1398902400
2014-06,1052,15,1401580800
2014-07,338,24,1404172800
2014-08,454,18,1406851200
2014-09,392,20,1409529600
2014-10,383,16,1412121600
2014-11,252,12,1414800000
2014-12,59,3,1417392000
2015-01,11,2,1420070400
2015-02,2,1,1422748800
2015-03,29,2,1425168000
2015-08,10,4,1438387200
2015-09,6,3,1441065600
2015-11,2,2,1446336000
2015-12,2,2,1448928000
2016-01,1,1,1451606400
