YYYY-MM,nCommits,nAuthors,timestamp
2009-03,44,4,1235865600
2009-04,27,5,1238544000
2009-05,30,6,1241136000
2009-06,42,5,1243814400
2009-07,20,6,1246406400
2009-08,20,5,1249084800
2009-09,62,6,1251763200
2009-10,84,5,1254355200
2009-11,57,4,1257033600
2009-12,113,5,1259625600
2010-01,74,8,1262304000
2010-02,71,7,1264982400
2010-03,66,8,1267401600
2010-04,75,9,1270080000
2010-05,51,10,1272672000
2010-06,50,9,1275350400
2010-07,41,10,1277942400
2010-08,92,9,1280620800
2010-09,114,8,1283299200
2010-10,87,7,1285891200
2010-11,59,7,1288569600
2010-12,43,7,1291161600
2011-01,53,6,1293840000
2011-02,39,6,1296518400
2011-03,66,6,1298937600
2011-04,115,8,1301616000
2011-05,127,8,1304208000
2011-06,30,5,1306886400
2011-07,47,6,1309478400
2011-08,54,6,1312156800
2011-09,59,5,1314835200
2011-10,28,5,1317427200
2011-11,66,6,1320105600
2011-12,61,5,1322697600
2012-01,121,5,1325376000
2012-02,46,3,1328054400
2012-03,112,5,1330560000
2012-04,69,5,1333238400
2012-05,50,6,1335830400
2012-06,45,5,1338508800
2012-07,39,7,1341100800
2012-08,42,8,1343779200
2012-09,32,7,1346457600
2012-10,133,11,1349049600
2012-11,47,7,1351728000
2012-12,51,7,1354320000
2013-01,40,7,1356998400
2013-02,56,6,1359676800
2013-03,56,5,1362096000
2013-04,35,7,1364774400
2013-05,38,6,1367366400
2013-06,20,4,1370044800
2013-07,15,3,1372636800
2013-08,30,4,1375315200
2013-09,56,6,1377993600
2013-10,108,5,1380585600
2013-11,48,4,1383264000
2013-12,41,5,1385856000
2014-01,45,5,1388534400
2014-02,65,5,1391212800
2014-03,70,5,1393632000
2014-04,61,9,1396310400
2014-05,79,6,1398902400
2014-06,88,4,1401580800
2014-07,44,4,1404172800
2014-08,52,5,1406851200
2014-09,61,5,1409529600
2014-10,56,6,1412121600
