YYYY-MM,nCommits,nAuthors,timestamp
2013-05,1,1,1367366400
2015-12,1,1,1448928000
2016-02,1,1,1454284800
2016-04,2,1,1459468800
2016-05,10,2,1462060800
2016-06,7,1,1464739200
2016-08,5,3,1470009600
2016-09,3,3,1472688000
2016-10,4,2,1475280000
2016-11,1,1,1477958400
2016-12,59,4,1480550400
2017-01,54,7,1483228800
2017-02,34,6,1485907200
2017-03,5,3,1488326400
2017-05,1,1,1493596800
2017-06,2,2,1496275200
2017-07,2,2,1498867200
2017-09,3,3,1504224000
2017-10,1,1,1506816000
2017-11,2,2,1509494400
2017-12,8,3,1512086400
2018-01,6,1,1514764800
2018-02,22,4,1517443200
2018-03,41,3,1519862400
2018-04,27,3,1522540800
2018-05,7,3,1525132800
2018-06,11,4,1527811200
2018-07,17,2,1530403200
2018-08,45,4,1533081600
2018-09,21,3,1535760000
2018-10,15,5,1538352000
2018-11,15,5,1541030400
2018-12,9,3,1543622400
2019-01,5,3,1546300800
2019-02,5,3,1548979200
2019-03,2,1,1551398400
2019-04,1,1,1554076800
2019-05,3,2,1556668800
2019-06,2,1,1559347200
2019-07,1,1,1561939200
2019-09,2,2,1567296000
2019-10,7,3,1569888000
2019-11,5,1,1572566400
2019-12,19,1,1575158400
2020-01,12,3,1577836800
2020-02,6,2,1580515200
2020-03,18,2,1583020800
2020-04,2,2,1585699200
2020-05,5,2,1588291200
