YYYY-MM,nCommits,nAuthors,timestamp
2013-08,3,1,1375315200
2013-09,14,5,1377993600
2013-10,49,8,1380585600
2013-11,6,3,1383264000
2013-12,9,2,1385856000
2014-01,9,3,1388534400
2014-02,3,3,1391212800
2014-03,26,3,1393632000
2014-04,72,6,1396310400
2014-05,143,11,1398902400
2014-06,146,4,1401580800
2014-07,101,10,1404172800
2014-08,30,4,1406851200
2014-09,34,5,1409529600
2014-10,33,6,1412121600
2014-11,28,6,1414800000
2014-12,55,4,1417392000
2015-01,40,4,1420070400
2015-02,91,4,1422748800
2015-03,66,6,1425168000
2015-04,29,5,1427846400
2015-05,24,4,1430438400
2015-06,41,4,1433116800
2015-07,48,8,1435708800
