YYYY-MM,nCommits,nAuthors,timestamp
2015-09,13,3,1441065600
2015-10,16,2,1443657600
2015-11,37,6,1446336000
2015-12,24,5,1448928000
2016-01,12,3,1451606400
2016-02,85,10,1454284800
2016-03,614,22,1456790400
2016-04,961,38,1459468800
2016-05,992,52,1462060800
2016-06,896,57,1464739200
2016-07,1074,74,1467331200
2016-08,1140,71,1470009600
2016-09,936,64,1472688000
2016-10,825,74,1475280000
2016-11,832,69,1477958400
2016-12,637,69,1480550400
2017-01,883,78,1483228800
2017-02,785,68,1485907200
2017-03,751,91,1488326400
2017-04,904,76,1491004800
2017-05,683,76,1493596800
2017-06,744,77,1496275200
2017-07,703,89,1498867200
2017-08,1502,103,1501545600
2017-09,769,80,1504224000
2017-10,918,80,1506816000
2017-11,655,81,1509494400
2017-12,679,62,1512086400
2018-01,828,65,1514764800
2018-02,1175,81,1517443200
2018-03,875,88,1519862400
2018-04,434,53,1522540800
