YYYY-MM,nCommits,nAuthors,timestamp
2013-01,6,4,1356998400
2013-04,4,1,1364774400
2013-10,1,1,1380585600
2013-11,1,1,1383264000
2013-12,5,2,1385856000
2014-01,9,2,1388534400
2014-05,3,1,1398902400
2014-06,2,2,1401580800
2014-07,11,2,1404172800
2014-08,3,1,1406851200
2014-09,2,1,1409529600
2014-10,15,6,1412121600
2014-11,12,7,1414800000
2014-12,21,9,1417392000
2015-01,5,3,1420070400
2015-02,16,5,1422748800
2015-03,58,8,1425168000
2015-04,8,3,1427846400
2015-05,50,3,1430438400
2015-06,28,7,1433116800
2015-07,8,5,1435708800
2015-08,21,4,1438387200
2015-09,11,3,1441065600
2015-10,22,6,1443657600
2015-11,10,4,1446336000
2015-12,2,2,1448928000
2016-01,17,6,1451606400
2016-02,9,4,1454284800
2016-03,11,7,1456790400
2016-04,13,5,1459468800
2016-05,5,3,1462060800
2016-06,4,3,1464739200
2016-07,21,3,1467331200
2016-08,6,3,1470009600
2016-09,8,2,1472688000
2016-10,9,2,1475280000
2016-11,1,1,1477958400
2016-12,1,1,1480550400
2017-01,1,1,1483228800
2017-02,10,7,1485907200
2017-03,7,5,1488326400
2017-04,8,4,1491004800
2017-05,11,4,1493596800
2017-06,18,5,1496275200
2017-07,17,4,1498867200
2017-08,7,3,1501545600
2017-09,18,6,1504224000
2017-10,6,3,1506816000
2017-11,22,7,1509494400
2017-12,7,3,1512086400
2018-01,15,5,1514764800
2018-02,15,8,1517443200
2018-03,14,6,1519862400
2018-04,23,8,1522540800
2018-05,16,5,1525132800
2018-06,71,8,1527811200
2018-07,52,6,1530403200
2018-08,41,13,1533081600
2018-09,24,9,1535760000
2018-10,25,6,1538352000
2018-11,16,7,1541030400
2018-12,67,8,1543622400
2019-01,7,6,1546300800
2019-02,24,9,1548979200
2019-03,11,6,1551398400
2019-04,30,12,1554076800
2019-05,25,7,1556668800
2019-06,24,10,1559347200
2019-07,51,8,1561939200
2019-08,9,7,1564617600
2019-09,48,11,1567296000
2019-10,27,8,1569888000
