YYYY-MM,nCommits,nAuthors,timestamp
2005-12,3,3,1133395200
2006-01,15,5,1136073600
2006-02,7,3,1138752000
2006-03,1,1,1141171200
2006-04,1,1,1143849600
2006-05,2,1,1146441600
2006-06,9,4,1149120000
2006-07,4,2,1151712000
2006-08,6,2,1154390400
2006-09,1,1,1157068800
2006-10,2,2,1159660800
2006-11,1,1,1162339200
2006-12,5,2,1164931200
2007-01,1,1,1167609600
2007-02,7,4,1170288000
2007-03,4,3,1172707200
2007-05,3,2,1177977600
2007-06,2,1,1180656000
2007-07,3,1,1183248000
2007-08,1,1,1185926400
2007-09,11,2,1188604800
2007-11,1,1,1193875200
2008-01,1,1,1199145600
2008-03,4,2,1204329600
2008-04,5,1,1207008000
2008-05,40,9,1209600000
2008-06,45,9,1212278400
2008-07,114,11,1214870400
2008-08,76,9,1217548800
2008-09,77,12,1220227200
2008-10,19,6,1222819200
2008-11,22,5,1225497600
2008-12,40,6,1228089600
2009-01,26,10,1230768000
2009-02,12,4,1233446400
2009-03,79,10,1235865600
2009-04,47,10,1238544000
2009-05,43,9,1241136000
2009-06,63,8,1243814400
2009-07,7,2,1246406400
2009-08,21,5,1249084800
2009-09,16,7,1251763200
2009-10,46,12,1254355200
2009-11,6,2,1257033600
2009-12,3,2,1259625600
2010-01,32,7,1262304000
2010-02,27,9,1264982400
2010-03,74,14,1267401600
2010-04,24,10,1270080000
2010-05,10,4,1272672000
2010-06,11,5,1275350400
2010-07,40,11,1277942400
2010-08,78,13,1280620800
2010-09,56,13,1283299200
2010-10,29,10,1285891200
2010-11,17,6,1288569600
2010-12,8,4,1291161600
2011-01,8,6,1293840000
2011-03,9,2,1298937600
2011-04,5,1,1301616000
2011-05,9,4,1304208000
2011-06,65,14,1306886400
2011-07,82,14,1309478400
2011-08,80,13,1312156800
2011-09,50,12,1314835200
2011-10,38,9,1317427200
2011-11,30,12,1320105600
2011-12,30,12,1322697600
2012-01,2,2,1325376000
2012-02,12,4,1328054400
2012-03,14,3,1330560000
2012-04,19,5,1333238400
2012-05,17,6,1335830400
2012-06,22,6,1338508800
2012-07,24,4,1341100800
2012-08,24,5,1343779200
2012-09,18,8,1346457600
2012-10,15,8,1349049600
2012-11,17,7,1351728000
2012-12,5,3,1354320000
2013-01,2,2,1356998400
2013-02,7,5,1359676800
2013-03,24,6,1362096000
2013-04,1,1,1364774400
2013-07,1,1,1372636800
2013-08,13,7,1375315200
2013-09,38,13,1377993600
2013-10,33,8,1380585600
2013-11,20,7,1383264000
2013-12,16,5,1385856000
2014-01,9,4,1388534400
2014-02,101,2,1391212800
2014-03,34,4,1393632000
2014-04,43,6,1396310400
2014-05,22,4,1398902400
2014-06,38,3,1401580800
2014-07,61,2,1404172800
2014-08,2,1,1406851200
2014-09,122,9,1409529600
2014-10,15,7,1412121600
2014-11,6,5,1414800000
2014-12,1,1,1417392000
2015-01,57,1,1420070400
2015-02,12,1,1422748800
2015-03,29,2,1425168000
2015-04,53,2,1427846400
2015-05,7,2,1430438400
2015-06,17,2,1433116800
2015-07,16,4,1435708800
2015-08,17,5,1438387200
2015-09,27,5,1441065600
2015-10,40,10,1443657600
2015-11,20,11,1446336000
2015-12,15,8,1448928000
2016-01,16,8,1451606400
2016-02,4,3,1454284800
2016-03,51,7,1456790400
2016-04,47,10,1459468800
2016-05,537,7,1462060800
2016-06,158,6,1464739200
2016-07,19,7,1467331200
2016-08,154,9,1470009600
2016-09,184,9,1472688000
2016-10,48,12,1475280000
2016-11,185,13,1477958400
2016-12,61,11,1480550400
2017-01,70,11,1483228800
2017-02,12,4,1485907200
2017-03,37,8,1488326400
2017-04,1,1,1491004800
2017-05,13,4,1493596800
2017-06,208,12,1496275200
2017-07,38,7,1498867200
2017-08,32,7,1501545600
2017-09,12,6,1504224000
2017-10,71,14,1506816000
2017-11,39,6,1509494400
2017-12,49,8,1512086400
2018-01,43,13,1514764800
2018-02,77,14,1517443200
2018-03,139,22,1519862400
2018-04,40,12,1522540800
2018-05,31,8,1525132800
2018-06,18,7,1527811200
2018-07,12,5,1530403200
2018-08,17,7,1533081600
2018-09,61,11,1535760000
2018-10,88,20,1538352000
2018-11,101,13,1541030400
2018-12,58,15,1543622400
2019-01,72,13,1546300800
2019-02,95,16,1548979200
2019-03,89,13,1551398400
2019-04,105,14,1554076800
2019-05,111,16,1556668800
2019-06,109,13,1559347200
2019-07,172,12,1561939200
2019-08,116,11,1564617600
2019-09,160,15,1567296000
2019-10,190,17,1569888000
2019-11,128,15,1572566400
2019-12,237,21,1575158400
2020-01,200,12,1577836800
2020-02,160,14,1580515200
2020-03,155,11,1583020800
2020-04,189,18,1585699200
2020-05,183,19,1588291200
2020-06,249,22,1590969600
2020-07,144,17,1593561600
2020-08,114,16,1596240000
2020-09,4,2,1598918400
