YYYY-MM,nCommits,nAuthors,timestamp
2013-08,7,2,1375315200
2013-09,71,4,1377993600
2013-10,89,4,1380585600
2013-11,51,3,1383264000
2013-12,28,2,1385856000
2014-01,70,7,1388534400
2014-02,103,7,1391212800
2014-03,156,8,1393632000
2014-04,161,6,1396310400
2014-05,101,5,1398902400
2014-06,113,5,1401580800
2014-07,142,5,1404172800
2014-08,175,6,1406851200
2014-09,195,5,1409529600
2014-10,116,4,1412121600
2014-11,74,4,1414800000
2014-12,37,4,1417392000
2015-01,41,4,1420070400
2015-02,6,1,1422748800
2015-03,36,4,1425168000
2015-04,9,2,1427846400
2015-05,11,3,1430438400
2015-06,7,2,1433116800
2015-07,33,7,1435708800
2015-08,112,8,1438387200
2015-09,140,5,1441065600
2015-10,184,5,1443657600
2015-11,121,5,1446336000
2015-12,60,5,1448928000
2016-01,23,5,1451606400
2016-02,37,3,1454284800
2016-03,64,8,1456790400
2016-04,41,2,1459468800
2016-05,80,7,1462060800
2016-06,109,7,1464739200
2016-07,90,3,1467331200
2016-08,109,8,1470009600
2016-09,119,6,1472688000
2016-10,111,8,1475280000
2016-11,132,10,1477958400
2016-12,132,10,1480550400
2017-01,158,7,1483228800
2017-02,83,3,1485907200
2017-03,94,7,1488326400
2017-04,36,5,1491004800
2017-05,84,4,1493596800
2017-06,176,7,1496275200
2017-07,98,11,1498867200
2017-08,111,7,1501545600
2017-09,105,11,1504224000
2017-10,76,7,1506816000
2017-11,75,5,1509494400
2017-12,34,3,1512086400
2018-01,102,5,1514764800
2018-02,87,7,1517443200
2018-03,49,7,1519862400
2018-04,49,6,1522540800
2018-05,86,7,1525132800
2018-06,67,6,1527811200
2018-07,76,6,1530403200
2018-08,43,9,1533081600
2018-09,35,9,1535760000
2018-10,40,7,1538352000
2018-11,59,10,1541030400
2018-12,73,8,1543622400
2019-01,51,5,1546300800
2019-02,4,3,1548979200
2019-03,19,7,1551398400
2019-04,56,5,1554076800
2019-05,28,5,1556668800
2019-06,39,6,1559347200
2019-07,62,5,1561939200
2019-08,42,4,1564617600
2019-09,27,4,1567296000
2019-10,53,4,1569888000
2019-11,28,6,1572566400
2019-12,69,5,1575158400
2020-01,26,4,1577836800
2020-03,2,1,1583020800
2020-04,1,1,1585699200
2020-06,2,1,1590969600
2020-07,4,1,1593561600
