YYYY-MM,nCommits,nAuthors,timestamp
2014-01,48,4,1388534400
2014-02,104,7,1391212800
2014-04,4,2,1396310400
2014-06,9,1,1401580800
2015-03,25,1,1425168000
2015-04,6,1,1427846400
2015-05,88,4,1430438400
2015-06,66,4,1433116800
2015-07,30,3,1435708800
2015-08,17,5,1438387200
2015-09,45,5,1441065600
2015-10,20,4,1443657600
2015-11,14,7,1446336000
2015-12,23,7,1448928000
2016-01,54,3,1451606400
2016-02,52,4,1454284800
2016-03,32,3,1456790400
2016-04,27,5,1459468800
2016-05,64,4,1462060800
2016-06,56,7,1464739200
2016-07,86,5,1467331200
2016-08,20,3,1470009600
2016-09,54,5,1472688000
2016-10,88,4,1475280000
2016-11,121,5,1477958400
2016-12,3,1,1480550400
