YYYY-MM,nCommits,nAuthors,timestamp
2011-06,676,17,1306886400
2011-07,972,13,1309478400
2011-08,413,16,1312156800
2011-09,199,14,1314835200
2011-10,138,12,1317427200
2011-11,97,11,1320105600
2011-12,80,9,1322697600
2012-01,101,8,1325376000
2012-02,187,8,1328054400
2012-03,165,10,1330560000
2012-04,239,10,1333238400
2012-05,383,10,1335830400
2012-06,101,9,1338508800
2012-07,261,7,1341100800
2012-08,102,6,1343779200
2012-09,151,4,1346457600
2012-10,185,8,1349049600
2012-11,142,7,1351728000
2012-12,97,8,1354320000
2013-01,262,10,1356998400
2013-02,220,9,1359676800
2013-03,259,9,1362096000
2013-04,289,9,1364774400
2013-05,115,8,1367366400
2013-06,136,6,1370044800
2013-07,255,11,1372636800
2013-08,239,11,1375315200
2013-09,209,11,1377993600
2013-10,182,12,1380585600
2013-11,344,10,1383264000
2013-12,181,9,1385856000
2014-01,294,11,1388534400
2014-02,186,11,1391212800
2014-03,315,11,1393632000
2014-04,225,12,1396310400
2014-05,326,12,1398902400
2014-06,266,15,1401580800
2014-07,390,11,1404172800
2014-08,187,8,1406851200
2014-09,263,9,1409529600
2014-10,403,12,1412121600
2014-11,313,12,1414800000
2014-12,218,12,1417392000
2015-01,273,12,1420070400
2015-02,132,12,1422748800
2015-03,163,12,1425168000
2015-04,145,14,1427846400
2015-05,145,13,1430438400
2015-06,218,17,1433116800
2015-07,187,16,1435708800
2015-08,277,17,1438387200
2015-09,204,21,1441065600
2015-10,235,24,1443657600
2015-11,301,24,1446336000
2015-12,189,22,1448928000
2016-01,166,18,1451606400
