YYYY-MM,nCommits,nAuthors,timestamp
2011-02,23,1,1296518400
2011-03,3,1,1298937600
2011-04,1,1,1301616000
2011-05,8,3,1304208000
2011-06,2,2,1306886400
2011-07,45,3,1309478400
2011-08,61,3,1312156800
2011-09,44,3,1314835200
2011-10,112,4,1317427200
2011-11,137,4,1320105600
2011-12,67,5,1322697600
2012-01,27,4,1325376000
2012-02,10,1,1328054400
2012-03,10,1,1330560000
2012-04,9,1,1333238400
2012-05,30,1,1335830400
2012-06,3,1,1338508800
2012-07,50,4,1341100800
2012-08,37,3,1343779200
2012-09,125,4,1346457600
2012-10,115,5,1349049600
2012-11,51,4,1351728000
2012-12,19,5,1354320000
2013-01,60,6,1356998400
2013-02,49,5,1359676800
2013-03,30,5,1362096000
2013-04,19,4,1364774400
2013-05,16,4,1367366400
2013-06,125,5,1370044800
2013-07,195,7,1372636800
2013-08,145,5,1375315200
2013-09,248,7,1377993600
2013-10,270,8,1380585600
2013-11,117,6,1383264000
2013-12,9,4,1385856000
2014-01,14,2,1388534400
2014-02,15,4,1391212800
