YYYY-MM,nCommits,nAuthors,timestamp
2010-02,494,8,1264982400
2010-03,422,6,1267401600
2010-04,214,6,1270080000
2010-05,386,6,1272672000
2010-06,458,12,1275350400
2010-07,99,5,1277942400
2010-08,65,11,1280620800
2010-09,66,9,1283299200
2010-10,269,10,1285891200
2010-11,204,9,1288569600
2010-12,99,9,1291161600
2011-01,314,17,1293840000
2011-02,498,11,1296518400
2011-03,355,13,1298937600
2011-04,214,10,1301616000
2011-05,311,12,1304208000
2011-06,141,7,1306886400
2011-07,75,8,1309478400
2011-08,64,7,1312156800
2011-09,81,8,1314835200
2011-10,119,7,1317427200
2011-11,59,5,1320105600
2011-12,57,5,1322697600
2012-01,23,4,1325376000
2012-02,75,8,1328054400
2012-03,134,8,1330560000
2012-04,193,7,1333238400
2012-05,970,8,1335830400
2012-06,353,9,1338508800
2012-07,135,9,1341100800
2012-08,1161,10,1343779200
2012-09,245,12,1346457600
2012-10,163,12,1349049600
2012-11,553,12,1351728000
2012-12,602,10,1354320000
2013-01,1224,10,1356998400
2013-02,664,10,1359676800
2013-03,118,6,1362096000
2013-04,136,9,1364774400
2013-05,336,8,1367366400
2013-06,94,5,1370044800
2013-07,90,6,1372636800
2013-08,26,8,1375315200
2013-09,200,9,1377993600
2013-10,312,10,1380585600
2013-11,100,9,1383264000
2013-12,30,5,1385856000
2014-01,336,9,1388534400
2014-02,118,7,1391212800
2014-03,278,8,1393632000
2014-04,90,9,1396310400
2014-05,108,5,1398902400
2014-06,132,7,1401580800
2014-07,70,3,1404172800
2014-08,100,6,1406851200
2014-09,432,11,1409529600
2014-10,468,12,1412121600
2014-11,432,13,1414800000
2014-12,180,14,1417392000
2015-01,328,10,1420070400
2015-02,668,12,1422748800
2015-03,172,10,1425168000
2015-04,106,8,1427846400
2015-05,490,10,1430438400
2015-06,434,15,1433116800
2015-07,250,8,1435708800
2015-08,74,6,1438387200
2015-09,96,8,1441065600
2015-10,176,7,1443657600
2015-11,54,7,1446336000
2015-12,118,5,1448928000
2016-01,100,5,1451606400
2016-02,10,4,1454284800
2016-03,22,4,1456790400
2016-04,56,6,1459468800
2016-05,98,6,1462060800
2016-06,82,4,1464739200
2016-07,114,4,1467331200
2016-08,18,1,1470009600
2016-09,18,2,1472688000
2017-01,2,1,1483228800
2017-03,2,1,1488326400
2017-06,4,2,1496275200
2017-08,1,1,1501545600
2017-09,3,1,1504224000
