YYYY-MM,nCommits,nAuthors,timestamp
2011-06,1,1,1306886400
2011-08,20,2,1312156800
2011-09,46,4,1314835200
2011-10,86,7,1317427200
2011-11,114,9,1320105600
2011-12,48,7,1322697600
2012-01,59,8,1325376000
2012-02,33,8,1328054400
2012-03,39,6,1330560000
2012-04,49,7,1333238400
2012-05,89,14,1335830400
2012-06,53,9,1338508800
2012-07,67,8,1341100800
2012-08,48,5,1343779200
2012-09,77,6,1346457600
2012-10,70,7,1349049600
2012-11,57,6,1351728000
2012-12,88,7,1354320000
2013-01,157,8,1356998400
2013-02,51,6,1359676800
2013-03,42,3,1362096000
2013-04,92,7,1364774400
2013-05,56,6,1367366400
2013-06,62,5,1370044800
2013-07,141,6,1372636800
2013-08,18,4,1375315200
2013-09,27,7,1377993600
2013-10,8,3,1380585600
2013-11,33,4,1383264000
2013-12,16,3,1385856000
2014-01,3,2,1388534400
2014-02,8,2,1391212800
2014-03,19,4,1393632000
2014-04,28,7,1396310400
2014-05,39,6,1398902400
2014-06,58,8,1401580800
2014-07,124,8,1404172800
2014-08,55,5,1406851200
2014-09,31,5,1409529600
2014-10,66,4,1412121600
2014-11,69,6,1414800000
2014-12,19,5,1417392000
2015-01,35,8,1420070400
2015-02,19,7,1422748800
2015-03,19,7,1425168000
2015-04,34,4,1427846400
2015-05,31,6,1430438400
2015-06,16,4,1433116800
2015-07,34,5,1435708800
2015-08,24,7,1438387200
2015-09,79,7,1441065600
2015-10,48,6,1443657600
2015-11,61,9,1446336000
2015-12,44,7,1448928000
2016-01,94,9,1451606400
2016-02,76,8,1454284800
2016-03,54,9,1456790400
2016-04,119,5,1459468800
2016-05,43,7,1462060800
2016-06,100,10,1464739200
2016-07,65,8,1467331200
2016-08,76,8,1470009600
2016-09,29,7,1472688000
2016-10,71,8,1475280000
2016-11,73,8,1477958400
2016-12,71,5,1480550400
2017-01,67,3,1483228800
2017-02,41,3,1485907200
2017-03,27,5,1488326400
2017-04,13,4,1491004800
2017-05,8,3,1493596800
2017-06,2,2,1496275200
2017-07,4,4,1498867200
2017-08,7,5,1501545600
2017-09,5,3,1504224000
2017-10,3,1,1506816000
2017-11,26,4,1509494400
2017-12,131,2,1512086400
2018-01,79,5,1514764800
2018-02,13,2,1517443200
2018-03,29,3,1519862400
2018-04,61,3,1522540800
2018-05,3,1,1525132800
2018-06,2,1,1527811200
2018-08,10,3,1533081600
2018-09,9,4,1535760000
2018-10,10,2,1538352000
2018-11,104,3,1541030400
2018-12,21,3,1543622400
2019-01,46,3,1546300800
2019-02,8,2,1548979200
2019-03,32,6,1551398400
2019-04,31,5,1554076800
2019-05,58,6,1556668800
2019-06,166,4,1559347200
2019-07,55,3,1561939200
2019-08,21,4,1564617600
2019-09,20,2,1567296000
2019-10,3,2,1569888000
2019-11,8,1,1572566400
2019-12,2,1,1575158400
2020-01,6,2,1577836800
2020-02,68,3,1580515200
2020-03,149,2,1583020800
2020-04,136,3,1585699200
2020-05,8,1,1588291200
2020-06,32,1,1590969600
2020-07,79,2,1593561600
2020-08,21,3,1596240000
