YYYY-MM,nCommits,nAuthors,timestamp
2016-01,9,5,1451606400
2016-02,101,13,1454284800
2016-03,176,12,1456790400
2016-04,54,11,1459468800
2016-05,126,11,1462060800
2016-06,55,11,1464739200
2016-07,18,10,1467331200
2016-08,25,14,1470009600
2016-09,44,10,1472688000
2016-10,51,9,1475280000
2016-11,43,12,1477958400
2016-12,40,9,1480550400
2017-01,110,14,1483228800
2017-02,44,9,1485907200
2017-03,56,10,1488326400
2017-04,158,16,1491004800
2017-05,80,13,1493596800
2017-06,118,18,1496275200
2017-07,76,14,1498867200
2017-08,76,13,1501545600
2017-09,72,8,1504224000
2017-10,165,23,1506816000
2017-11,154,23,1509494400
2017-12,70,16,1512086400
2018-01,106,23,1514764800
2018-02,101,20,1517443200
2018-03,197,18,1519862400
2018-04,190,17,1522540800
2018-05,122,18,1525132800
2018-06,188,20,1527811200
2018-07,142,20,1530403200
2018-08,158,18,1533081600
2018-09,124,14,1535760000
2018-10,89,14,1538352000
2018-11,74,9,1541030400
2018-12,65,10,1543622400
2019-01,100,11,1546300800
2019-02,100,18,1548979200
2019-03,78,11,1551398400
2019-04,85,13,1554076800
2019-05,96,13,1556668800
2019-06,75,13,1559347200
2019-07,61,9,1561939200
2019-08,98,17,1564617600
2019-09,51,14,1567296000
2019-10,131,18,1569888000
2019-11,114,19,1572566400
2019-12,65,14,1575158400
2020-01,99,19,1577836800
2020-02,92,28,1580515200
2020-03,43,14,1583020800
2020-04,40,13,1585699200
2020-05,37,11,1588291200
2020-06,54,13,1590969600
2020-07,94,20,1593561600
2020-08,84,14,1596240000
