YYYY-MM,nCommits,nAuthors,timestamp
2013-11,30,3,1383264000
2013-12,13,1,1385856000
2014-01,11,1,1388534400
2014-02,25,3,1391212800
2014-03,26,1,1393632000
2014-04,102,2,1396310400
2014-05,69,3,1398902400
2014-06,32,3,1401580800
2014-07,64,4,1404172800
2014-08,39,6,1406851200
2014-09,158,6,1409529600
2014-10,206,9,1412121600
2014-11,193,10,1414800000
2014-12,214,17,1417392000
2015-01,273,19,1420070400
2015-02,299,16,1422748800
2015-03,309,16,1425168000
2015-04,342,18,1427846400
2015-05,86,16,1430438400
2015-06,159,19,1433116800
2015-07,141,17,1435708800
2015-08,180,14,1438387200
2015-09,176,16,1441065600
2015-10,183,15,1443657600
2015-11,212,22,1446336000
2015-12,239,25,1448928000
2016-01,141,19,1451606400
2016-02,288,21,1454284800
2016-03,273,23,1456790400
2016-04,122,21,1459468800
2016-05,190,23,1462060800
2016-06,187,24,1464739200
2016-07,112,19,1467331200
2016-08,188,28,1470009600
2016-09,215,26,1472688000
2016-10,166,24,1475280000
2016-11,133,22,1477958400
2016-12,139,23,1480550400
2017-01,119,21,1483228800
2017-02,148,20,1485907200
2017-03,205,20,1488326400
2017-04,193,20,1491004800
2017-05,180,20,1493596800
2017-06,232,22,1496275200
2017-07,143,18,1498867200
2017-08,201,24,1501545600
2017-09,203,19,1504224000
2017-10,266,17,1506816000
2017-11,208,24,1509494400
2017-12,163,16,1512086400
2018-01,249,16,1514764800
2018-02,299,19,1517443200
2018-03,193,10,1519862400
2018-04,147,12,1522540800
2019-05,13,4,1556668800
2019-06,28,2,1559347200
