YYYY-MM,nCommits,nAuthors,timestamp
2003-05,2,1,1051747200
2005-05,3,1,1114905600
2006-06,40,1,1149120000
2006-08,14,1,1154390400
2006-09,54,2,1157068800
2006-10,39,2,1159660800
2006-11,37,2,1162339200
2006-12,9,2,1164931200
2007-01,11,2,1167609600
2007-02,11,2,1170288000
2007-03,3,2,1172707200
2007-04,6,1,1175385600
2007-05,3,2,1177977600
2007-06,5,2,1180656000
2007-07,14,1,1183248000
2007-08,3,1,1185926400
2007-11,3,1,1193875200
2008-01,8,1,1199145600
2008-02,2,1,1201824000
2008-03,35,1,1204329600
2008-04,83,2,1207008000
2008-05,35,2,1209600000
2008-06,124,2,1212278400
2008-07,35,2,1214870400
2008-08,37,1,1217548800
2008-09,103,2,1220227200
2008-10,82,2,1222819200
2008-12,3,1,1228089600
2009-01,2,1,1230768000
2009-03,13,1,1235865600
2009-04,8,2,1238544000
2009-05,11,2,1241136000
2009-06,28,2,1243814400
2009-08,105,1,1249084800
2009-09,13,2,1251763200
2009-10,24,3,1254355200
2009-11,4,1,1257033600
2009-12,8,2,1259625600
2010-01,34,2,1262304000
2010-02,87,2,1264982400
2010-03,25,2,1267401600
2010-04,8,3,1270080000
2010-05,15,2,1272672000
2010-06,30,2,1275350400
2010-07,8,2,1277942400
2010-08,18,1,1280620800
2010-09,17,2,1283299200
2010-10,8,2,1285891200
2010-11,9,1,1288569600
2010-12,30,1,1291161600
2011-01,29,4,1293840000
2011-02,20,3,1296518400
2011-03,9,1,1298937600
2011-04,21,2,1301616000
2011-05,23,1,1304208000
2011-06,15,1,1306886400
2011-07,21,1,1309478400
2011-08,1,1,1312156800
2011-09,40,3,1314835200
2011-10,50,4,1317427200
2011-11,78,3,1320105600
2011-12,36,3,1322697600
2012-01,64,4,1325376000
2012-02,32,4,1328054400
2012-03,18,2,1330560000
2012-04,39,3,1333238400
2012-05,10,2,1335830400
2012-06,36,1,1338508800
2012-07,24,1,1341100800
2012-08,3,2,1343779200
2012-09,4,3,1346457600
2012-10,11,2,1349049600
2012-11,22,4,1351728000
2012-12,15,2,1354320000
2013-01,17,2,1356998400
2013-02,53,3,1359676800
2013-03,10,2,1362096000
2013-04,67,4,1364774400
2013-05,11,2,1367366400
2013-06,20,3,1370044800
2013-07,31,1,1372636800
2013-08,24,1,1375315200
2013-09,22,3,1377993600
2013-10,42,2,1380585600
2013-11,24,3,1383264000
2013-12,55,3,1385856000
2014-01,24,2,1388534400
2014-02,15,2,1391212800
2014-03,19,4,1393632000
2014-04,14,1,1396310400
2014-05,25,2,1398902400
2014-06,26,3,1401580800
2014-07,14,2,1404172800
2014-08,21,3,1406851200
2014-09,18,2,1409529600
2014-10,25,2,1412121600
2014-11,24,2,1414800000
2014-12,9,2,1417392000
2015-01,21,2,1420070400
2015-02,6,1,1422748800
2015-03,24,3,1425168000
2015-04,42,3,1427846400
2015-05,16,1,1430438400
2015-06,78,4,1433116800
2015-07,37,6,1435708800
2015-08,37,5,1438387200
2015-09,37,5,1441065600
2015-10,45,4,1443657600
2015-11,21,3,1446336000
2015-12,30,5,1448928000
2016-01,111,4,1451606400
2016-02,32,5,1454284800
2016-03,59,3,1456790400
2016-04,41,4,1459468800
2016-05,67,2,1462060800
2016-06,62,4,1464739200
2016-07,14,5,1467331200
2016-08,5,2,1470009600
2016-09,12,3,1472688000
2016-10,14,4,1475280000
2016-11,26,4,1477958400
2016-12,56,8,1480550400
2017-01,39,2,1483228800
2017-02,9,4,1485907200
2017-03,4,3,1488326400
2017-04,52,5,1491004800
2017-05,49,2,1493596800
2017-06,59,2,1496275200
2017-07,109,6,1498867200
2017-08,55,5,1501545600
2017-09,34,3,1504224000
2017-10,18,2,1506816000
2017-11,66,8,1509494400
2017-12,28,2,1512086400
2018-01,19,4,1514764800
2018-02,38,2,1517443200
2018-03,40,4,1519862400
2018-04,68,5,1522540800
2018-05,72,5,1525132800
2018-06,29,4,1527811200
2018-07,45,3,1530403200
2018-08,60,6,1533081600
2018-09,34,2,1535760000
2018-10,30,2,1538352000
2018-11,77,2,1541030400
2018-12,80,4,1543622400
2019-01,68,3,1546300800
2019-02,81,3,1548979200
2019-03,40,3,1551398400
2019-04,27,6,1554076800
2019-05,127,11,1556668800
2019-06,97,9,1559347200
2019-07,75,7,1561939200
2019-08,61,8,1564617600
2019-09,100,9,1567296000
2019-10,91,13,1569888000
2019-11,90,8,1572566400
2019-12,101,5,1575158400
2020-01,78,11,1577836800
2020-02,98,7,1580515200
2020-03,99,6,1583020800
2020-04,40,3,1585699200
2020-05,94,5,1588291200
2020-06,57,5,1590969600
2020-07,24,5,1593561600
