YYYY-MM,nCommits,nAuthors,timestamp
2014-12,1,1,1417392000
2015-01,48,14,1420070400
2015-02,141,12,1422748800
2015-03,238,15,1425168000
2015-04,254,10,1427846400
2015-05,279,11,1430438400
2015-06,369,10,1433116800
2015-07,349,12,1435708800
2015-08,254,12,1438387200
2015-09,208,12,1441065600
2015-10,220,12,1443657600
2015-11,306,15,1446336000
2015-12,79,9,1448928000
2016-01,120,12,1451606400
2016-02,97,10,1454284800
2016-03,91,9,1456790400
2016-04,190,26,1459468800
2016-05,202,22,1462060800
2016-06,118,15,1464739200
2016-07,204,15,1467331200
2016-08,322,18,1470009600
2016-09,109,10,1472688000
2016-10,221,12,1475280000
2016-11,164,15,1477958400
2016-12,26,18,1480550400
2017-01,26,8,1483228800
2017-02,75,13,1485907200
2017-03,50,13,1488326400
2017-04,42,20,1491004800
2017-05,60,22,1493596800
2017-06,27,7,1496275200
2017-07,2,2,1498867200
2017-08,16,12,1501545600
2017-09,16,7,1504224000
2017-10,1,1,1506816000
2017-11,14,7,1509494400
2017-12,15,6,1512086400
2018-01,93,17,1514764800
2018-02,101,9,1517443200
2018-03,3,3,1519862400
2018-04,39,5,1522540800
2018-05,8,3,1525132800
2018-06,48,5,1527811200
2018-07,5,3,1530403200
2018-08,40,10,1533081600
2018-09,229,14,1535760000
2018-10,72,9,1538352000
2018-11,48,9,1541030400
2018-12,20,5,1543622400
2019-01,68,9,1546300800
2019-02,16,8,1548979200
2019-03,28,6,1551398400
2019-04,4,2,1554076800
2019-06,6,2,1559347200
2019-07,5,2,1561939200
2019-08,4,2,1564617600
2019-09,7,1,1567296000
2019-10,6,2,1569888000
2019-11,31,6,1572566400
