YYYY-MM,nCommits,nAuthors,timestamp
2009-04,63,4,1238544000
2009-05,29,2,1241136000
2009-06,18,3,1243814400
2009-07,18,3,1246406400
2009-08,237,4,1249084800
2009-09,83,5,1251763200
2009-10,26,3,1254355200
2009-11,104,7,1257033600
2009-12,434,8,1259625600
2010-01,372,8,1262304000
2010-02,359,4,1264982400
2010-03,169,4,1267401600
2010-04,273,5,1270080000
2010-05,174,6,1272672000
2010-06,238,8,1275350400
2010-07,278,10,1277942400
2010-08,92,8,1280620800
2010-09,351,10,1283299200
2010-10,463,13,1285891200
2010-11,234,10,1288569600
2010-12,246,9,1291161600
2011-01,395,14,1293840000
2011-02,98,8,1296518400
2011-03,106,10,1298937600
2011-04,270,10,1301616000
2011-05,202,10,1304208000
2011-06,164,13,1306886400
2011-07,248,14,1309478400
2011-08,177,13,1312156800
2011-09,33,9,1314835200
2011-10,47,6,1317427200
2011-11,46,8,1320105600
2011-12,124,9,1322697600
2012-01,148,8,1325376000
2012-02,134,10,1328054400
2012-03,116,10,1330560000
2012-04,64,7,1333238400
2012-05,331,9,1335830400
2012-06,133,12,1338508800
2012-07,120,10,1341100800
2012-08,83,9,1343779200
2012-09,239,10,1346457600
2012-10,297,12,1349049600
2012-11,97,7,1351728000
2012-12,81,9,1354320000
2013-01,221,8,1356998400
2013-02,198,9,1359676800
2013-03,144,9,1362096000
2013-04,48,9,1364774400
2013-05,39,8,1367366400
2013-06,62,11,1370044800
2013-07,55,9,1372636800
2013-08,93,10,1375315200
2013-09,64,10,1377993600
2013-10,53,7,1380585600
2013-11,60,8,1383264000
2013-12,101,9,1385856000
2014-01,314,10,1388534400
2014-02,72,8,1391212800
2014-03,63,10,1393632000
2014-04,80,13,1396310400
2014-05,59,13,1398902400
2014-06,31,8,1401580800
2014-07,29,6,1404172800
2014-08,30,6,1406851200
2014-09,46,9,1409529600
2014-10,85,7,1412121600
2014-11,85,10,1414800000
2014-12,50,8,1417392000
2015-01,258,10,1420070400
2015-02,241,10,1422748800
2015-03,39,5,1425168000
2015-04,7,4,1427846400
2015-05,16,3,1430438400
2015-06,199,7,1433116800
2015-07,67,5,1435708800
2015-08,38,3,1438387200
2015-09,51,3,1441065600
2015-10,46,3,1443657600
2015-11,122,3,1446336000
2015-12,13,1,1448928000
2016-01,6,4,1451606400
2016-03,14,2,1456790400
2016-04,7,2,1459468800
2016-05,2,2,1462060800
2016-06,37,2,1464739200
2016-07,1,1,1467331200
2016-08,1,1,1470009600
2016-10,6,1,1475280000
2016-11,2,1,1477958400
2016-12,16,3,1480550400
2017-01,53,4,1483228800
2017-02,17,3,1485907200
2017-03,14,4,1488326400
2017-04,3,2,1491004800
2017-06,6,2,1496275200
2017-08,1,1,1501545600
2017-11,1,1,1509494400
2017-12,5,2,1512086400
2018-01,2,2,1514764800
2018-02,1,1,1517443200
2018-03,2,2,1519862400
2018-04,18,2,1522540800
2018-06,5,2,1527811200
2018-07,4,1,1530403200
2018-08,2,1,1533081600
2018-09,1,1,1535760000
2018-10,6,2,1538352000
2018-11,1,1,1541030400
2018-12,5,1,1543622400
2019-01,34,2,1546300800
