YYYY-MM,nCommits,nAuthors,timestamp
2010-08,31,1,1280620800
2010-09,120,2,1283299200
2010-10,143,8,1285891200
2010-11,109,7,1288569600
2010-12,58,8,1291161600
2011-01,132,10,1293840000
2011-02,223,9,1296518400
2011-03,160,11,1298937600
2011-04,223,13,1301616000
2011-05,177,10,1304208000
2011-06,161,13,1306886400
2011-07,81,12,1309478400
2011-08,121,10,1312156800
2011-09,100,8,1314835200
2011-10,146,11,1317427200
2011-11,152,11,1320105600
2011-12,46,4,1322697600
2012-01,56,7,1325376000
2012-02,66,8,1328054400
2012-03,68,8,1330560000
2012-04,179,11,1333238400
2012-05,114,9,1335830400
2012-06,53,9,1338508800
2012-07,130,11,1341100800
2012-08,127,12,1343779200
2012-09,326,12,1346457600
2012-10,100,15,1349049600
2012-11,98,6,1351728000
2012-12,64,7,1354320000
2013-01,76,9,1356998400
2013-02,89,13,1359676800
2013-03,235,13,1362096000
2013-04,225,13,1364774400
2013-05,247,14,1367366400
2013-06,171,15,1370044800
2013-07,104,15,1372636800
2013-08,59,10,1375315200
2013-09,133,11,1377993600
2013-10,96,15,1380585600
2013-11,124,14,1383264000
2013-12,184,18,1385856000
2014-01,120,19,1388534400
2014-02,9,2,1391212800
2014-03,70,12,1393632000
2014-04,12,5,1396310400
2014-05,28,4,1398902400
2014-06,43,7,1401580800
2014-07,8,2,1404172800
2014-08,57,9,1406851200
2014-09,27,6,1409529600
2014-10,61,4,1412121600
2014-11,29,4,1414800000
2014-12,14,5,1417392000
2015-01,61,7,1420070400
2015-02,32,8,1422748800
2015-03,41,8,1425168000
2015-04,60,6,1427846400
2015-05,21,4,1430438400
2015-06,9,2,1433116800
2015-07,18,6,1435708800
2015-08,19,5,1438387200
2015-09,11,3,1441065600
2015-10,24,7,1443657600
2015-11,5,2,1446336000
