YYYY-MM,nCommits,nAuthors,timestamp
2012-04,903,65,1333238400
2012-05,2209,81,1335830400
2012-06,1926,83,1338508800
2012-07,2091,82,1341100800
2012-08,394,41,1343779200
2012-09,28,9,1346457600
2012-10,3,2,1349049600
2012-11,21,1,1351728000
2012-12,1,1,1354320000
2013-01,1,1,1356998400
2013-02,314,17,1359676800
2013-03,129,9,1362096000
2013-04,148,11,1364774400
2013-05,246,18,1367366400
2013-06,572,39,1370044800
2013-07,1210,60,1372636800
2013-08,1389,78,1375315200
2013-09,200,28,1377993600
2013-10,33,17,1380585600
2013-11,41,13,1383264000
2013-12,7,3,1385856000
2014-01,9,5,1388534400
2014-02,40,6,1391212800
2014-03,1,1,1393632000
