YYYY-MM,nCommits,nAuthors,timestamp
2011-04,1,1,1301616000
2012-01,18,2,1325376000
2012-02,54,5,1328054400
2012-03,226,15,1330560000
2012-04,110,9,1333238400
2012-05,199,8,1335830400
2012-06,102,6,1338508800
2012-07,195,8,1341100800
2012-08,60,6,1343779200
2012-09,94,5,1346457600
2012-10,82,8,1349049600
2012-11,56,7,1351728000
2012-12,47,6,1354320000
2013-01,155,10,1356998400
2013-02,188,8,1359676800
2013-03,137,6,1362096000
2013-04,167,8,1364774400
2013-05,105,8,1367366400
2013-06,187,8,1370044800
2013-07,202,10,1372636800
2013-08,171,12,1375315200
2013-09,171,9,1377993600
2013-10,107,7,1380585600
2013-11,114,7,1383264000
2013-12,212,8,1385856000
2014-01,253,6,1388534400
2014-02,196,6,1391212800
2014-03,115,8,1393632000
2014-04,107,9,1396310400
2014-05,120,10,1398902400
2014-06,60,8,1401580800
2014-07,104,13,1404172800
2014-08,121,11,1406851200
2014-09,68,7,1409529600
2014-10,19,9,1412121600
2014-11,44,7,1414800000
2014-12,55,8,1417392000
2015-01,62,6,1420070400
2015-02,86,9,1422748800
2015-03,60,7,1425168000
2015-04,50,7,1427846400
2015-05,71,7,1430438400
2015-06,20,7,1433116800
2015-07,20,7,1435708800
2015-08,146,6,1438387200
2015-09,25,7,1441065600
2015-10,52,6,1443657600
2015-11,38,4,1446336000
2015-12,21,6,1448928000
2016-01,68,7,1451606400
2016-02,61,7,1454284800
2016-03,52,6,1456790400
2016-04,21,10,1459468800
2016-05,30,3,1462060800
2016-06,8,4,1464739200
2016-07,11,6,1467331200
2016-08,6,1,1470009600
