YYYY-MM,nCommits,nAuthors,timestamp
2016-02,28,2,1454284800
2016-03,37,3,1456790400
2016-05,8,2,1462060800
2016-07,24,7,1467331200
2016-08,4,2,1470009600
2016-09,9,2,1472688000
2016-10,28,6,1475280000
2016-11,5,2,1477958400
2018-01,96,6,1514764800
2018-02,45,11,1517443200
2018-03,9,6,1519862400
2018-04,23,8,1522540800
2018-05,126,9,1525132800
2018-06,34,9,1527811200
2018-07,32,9,1530403200
2018-08,12,4,1533081600
2018-10,4,4,1538352000
2018-11,116,4,1541030400
2018-12,43,5,1543622400
2019-01,73,7,1546300800
2019-02,203,14,1548979200
2019-03,61,8,1551398400
2019-04,62,12,1554076800
2019-05,100,16,1556668800
2019-06,220,22,1559347200
2019-07,73,13,1561939200
2019-08,257,19,1564617600
2019-09,147,8,1567296000
2019-10,70,10,1569888000
2019-11,96,10,1572566400
2019-12,65,15,1575158400
2020-01,180,15,1577836800
2020-02,332,17,1580515200
2020-03,578,16,1583020800
2020-04,383,22,1585699200
2020-05,165,15,1588291200
2020-06,120,11,1590969600
2020-07,77,13,1593561600
2020-08,37,10,1596240000
2020-09,17,6,1598918400
