YYYY-MM,nCommits,nAuthors,timestamp
2006-10,8,1,1159660800
2006-11,21,2,1162339200
2006-12,40,3,1164931200
2007-01,19,3,1167609600
2007-02,5,1,1170288000
2007-03,11,3,1172707200
2007-04,15,3,1175385600
2007-05,27,4,1177977600
2007-06,8,2,1180656000
2007-07,2,1,1183248000
2007-08,9,3,1185926400
2007-09,2,2,1188604800
2007-10,21,2,1191196800
2007-11,28,6,1193875200
2007-12,8,5,1196467200
2008-01,20,3,1199145600
2008-02,18,4,1201824000
2008-03,15,5,1204329600
2008-04,13,2,1207008000
2008-05,13,1,1209600000
2008-06,8,2,1212278400
2008-07,3,2,1214870400
2008-08,5,1,1217548800
2008-09,3,2,1220227200
2008-10,31,3,1222819200
2008-11,8,2,1225497600
2008-12,9,2,1228089600
2009-01,5,1,1230768000
2009-02,7,6,1233446400
2009-03,2,2,1235865600
2009-04,3,2,1238544000
2009-05,11,3,1241136000
2009-06,5,3,1243814400
2009-07,7,2,1246406400
2009-08,6,2,1249084800
2009-09,4,1,1251763200
2009-10,3,1,1254355200
2009-11,3,3,1257033600
2009-12,1,1,1259625600
2010-01,2,2,1262304000
2010-03,6,2,1267401600
2010-04,13,2,1270080000
2010-05,4,2,1272672000
2010-06,7,2,1275350400
2010-08,1,1,1280620800
2010-10,3,1,1285891200
2010-11,1,1,1288569600
2010-12,30,1,1291161600
2011-01,53,2,1293840000
2011-02,14,2,1296518400
2011-03,11,4,1298937600
2011-04,7,1,1301616000
2011-05,4,1,1304208000
2011-07,5,3,1309478400
2011-09,1,1,1314835200
2011-11,1,1,1320105600
2011-12,15,6,1322697600
2012-01,13,7,1325376000
2012-02,5,4,1328054400
2012-03,6,4,1330560000
2012-04,6,2,1333238400
2012-05,6,2,1335830400
2012-07,9,3,1341100800
2012-08,9,3,1343779200
2012-09,38,5,1346457600
2012-10,8,5,1349049600
2012-11,2,1,1351728000
2012-12,35,11,1354320000
2013-01,23,12,1356998400
2013-02,18,15,1359676800
2013-03,29,23,1362096000
2013-04,10,5,1364774400
2013-05,63,5,1367366400
2013-06,51,10,1370044800
2013-07,67,13,1372636800
2013-08,101,19,1375315200
2013-09,43,22,1377993600
2013-10,33,7,1380585600
2013-11,25,7,1383264000
2013-12,7,4,1385856000
2014-01,104,13,1388534400
2014-02,41,11,1391212800
2014-03,67,27,1393632000
2014-04,41,9,1396310400
2014-05,10,6,1398902400
2014-06,59,6,1401580800
2014-07,30,9,1404172800
2014-08,37,12,1406851200
2014-09,25,19,1409529600
2014-10,5,3,1412121600
2014-11,8,6,1414800000
2014-12,21,4,1417392000
2015-01,6,2,1420070400
2015-02,38,16,1422748800
2015-03,32,22,1425168000
2015-04,10,4,1427846400
2015-05,19,9,1430438400
2015-06,8,5,1433116800
2015-07,27,8,1435708800
2015-08,10,9,1438387200
2015-09,22,16,1441065600
2015-10,6,5,1443657600
2015-11,14,7,1446336000
2015-12,7,1,1448928000
2016-01,5,5,1451606400
2016-02,4,2,1454284800
2016-03,12,6,1456790400
2016-04,1,1,1459468800
2016-05,20,4,1462060800
2016-06,2,2,1464739200
2016-07,10,2,1467331200
2016-08,19,17,1470009600
2016-09,15,14,1472688000
2016-10,4,3,1475280000
2016-11,2,1,1477958400
2017-01,15,9,1483228800
2017-02,34,23,1485907200
2017-03,23,14,1488326400
2017-04,3,3,1491004800
2017-05,2,2,1493596800
2017-06,1,1,1496275200
2017-07,3,2,1498867200
2017-08,7,7,1501545600
2017-09,8,6,1504224000
2017-10,10,4,1506816000
2017-11,6,2,1509494400
2018-02,4,2,1517443200
2018-03,12,5,1519862400
2018-04,11,2,1522540800
2018-05,8,8,1525132800
2018-07,13,3,1530403200
2018-08,20,19,1533081600
2018-09,29,8,1535760000
2018-10,1,1,1538352000
2018-11,1,1,1541030400
2018-12,16,8,1543622400
2019-01,33,12,1546300800
2019-02,25,20,1548979200
2019-03,31,16,1551398400
2019-04,6,5,1554076800
2019-05,3,3,1556668800
2019-06,3,3,1559347200
2019-07,2,1,1561939200
2019-08,13,6,1564617600
2019-09,53,8,1567296000
2019-10,5,4,1569888000
2019-11,4,3,1572566400
2020-01,12,10,1577836800
2020-02,26,15,1580515200
2020-03,13,12,1583020800
2020-04,92,11,1585699200
2020-05,12,7,1588291200
2020-06,11,6,1590969600
2020-07,15,10,1593561600
2020-08,21,16,1596240000
2020-09,3,2,1598918400
