YYYY-MM,nCommits,nAuthors,timestamp
2009-04,457,10,1238544000
2009-05,427,12,1241136000
2009-06,252,14,1243814400
2009-07,236,12,1246406400
2009-08,60,11,1249084800
2009-09,96,9,1251763200
2009-10,100,11,1254355200
2009-11,56,11,1257033600
2009-12,74,7,1259625600
2010-01,40,7,1262304000
2010-02,36,7,1264982400
2010-03,4,3,1267401600
2010-04,16,5,1270080000
2010-05,12,6,1272672000
2010-06,4,2,1275350400
2010-07,2,2,1277942400
2010-09,94,7,1283299200
2010-10,18,2,1285891200
2010-11,24,4,1288569600
2010-12,40,2,1291161600
2011-01,66,4,1293840000
2011-02,30,4,1296518400
2011-03,12,2,1298937600
2011-05,8,2,1304208000
2011-06,32,4,1306886400
2011-07,16,2,1309478400
2011-08,2,2,1312156800
2011-09,20,4,1314835200
2011-10,10,2,1317427200
2011-11,18,7,1320105600
2011-12,18,2,1322697600
2012-01,14,3,1325376000
2012-02,12,5,1328054400
2012-03,2,2,1330560000
2012-04,16,4,1333238400
2012-05,48,7,1335830400
2012-06,10,1,1338508800
2012-07,14,3,1341100800
2012-08,4,1,1343779200
2012-10,2,1,1349049600
2012-11,2,1,1351728000
2012-12,6,1,1354320000
2013-01,4,1,1356998400
2013-03,4,1,1362096000
2013-04,6,1,1364774400
2013-05,2,1,1367366400
2013-08,4,1,1375315200
2013-10,2,1,1380585600
2014-04,8,1,1396310400
2014-05,10,1,1398902400
2014-07,4,1,1404172800
2014-08,6,1,1406851200
2014-11,2,1,1414800000
2014-12,2,1,1417392000
2015-01,12,1,1420070400
2015-02,2,1,1422748800
2015-03,4,1,1425168000
2015-04,4,2,1427846400
2015-05,2,1,1430438400
2015-06,2,1,1433116800
2015-07,12,1,1435708800
2015-08,10,1,1438387200
2015-11,2,1,1446336000
2016-01,4,1,1451606400
2016-10,2,1,1475280000
2016-11,2,1,1477958400
2017-11,6,1,1509494400
2017-12,4,1,1512086400
2018-11,1,1,1541030400
