YYYY-MM,nCommits,nAuthors,timestamp
1998-04,1,1,891388800
1998-05,2,1,893980800
1998-09,1,1,904608000
1998-12,15,4,912470400
1999-01,5,2,915148800
1999-02,5,4,917827200
1999-03,10,3,920246400
1999-04,5,3,922924800
1999-05,2,2,925516800
1999-06,9,4,928195200
1999-07,2,2,930787200
1999-08,3,2,933465600
1999-09,4,4,936144000
1999-10,1,1,938736000
1999-11,1,1,941414400
2000-03,3,1,951868800
2000-05,6,3,957139200
2000-06,7,3,959817600
2000-07,1,1,962409600
2000-08,2,2,965088000
2000-09,1,1,967766400
2000-10,2,1,970358400
2000-12,1,1,975628800
2001-03,8,4,983404800
2001-04,16,4,986083200
2001-05,10,7,988675200
2001-06,7,4,991353600
2001-07,2,2,993945600
2001-08,2,1,996624000
2001-10,5,2,1001894400
2001-11,3,3,1004572800
2002-01,1,1,1009843200
2002-02,13,4,1012521600
2002-03,47,5,1014940800
2002-04,36,8,1017619200
2002-05,11,6,1020211200
2002-06,5,3,1022889600
2002-07,5,4,1025481600
2002-08,2,1,1028160000
2002-09,32,4,1030838400
2002-10,28,5,1033430400
2002-11,33,4,1036108800
2002-12,18,6,1038700800
2003-01,21,6,1041379200
2003-02,1,1,1044057600
2003-03,11,5,1046476800
2003-04,2,2,1049155200
2003-05,6,4,1051747200
2003-06,3,3,1054425600
2003-07,3,2,1057017600
2003-08,6,5,1059696000
2003-09,2,2,1062374400
2003-10,15,5,1064966400
2003-11,15,3,1067644800
2003-12,5,3,1070236800
2004-01,30,5,1072915200
2004-02,67,9,1075593600
2004-03,71,12,1078099200
2004-04,28,6,1080777600
2004-05,35,5,1083369600
2004-06,49,12,1086048000
2004-07,101,12,1088640000
2004-08,101,11,1091318400
2004-09,90,15,1093996800
2004-10,32,8,1096588800
2004-11,10,7,1099267200
2004-12,35,10,1101859200
2005-01,94,9,1104537600
2005-02,31,8,1107216000
2005-03,119,11,1109635200
2005-04,152,15,1112313600
2005-05,165,12,1114905600
2005-06,177,13,1117584000
2005-07,213,18,1120176000
2005-08,100,15,1122854400
2005-09,115,13,1125532800
2005-10,122,19,1128124800
2005-11,64,13,1130803200
2005-12,150,17,1133395200
2006-01,365,29,1136073600
2006-02,211,20,1138752000
2006-03,330,22,1141171200
2006-04,292,19,1143849600
2006-05,250,27,1146441600
2006-06,299,23,1149120000
2006-07,304,25,1151712000
2006-08,306,24,1154390400
2006-09,365,30,1157068800
2006-10,459,24,1159660800
2006-11,345,26,1162339200
2006-12,385,26,1164931200
2007-01,426,30,1167609600
2007-02,250,22,1170288000
2007-03,387,26,1172707200
2007-04,233,27,1175385600
2007-05,356,23,1177977600
2007-06,305,24,1180656000
2007-07,472,26,1183248000
2007-08,348,25,1185926400
2007-09,213,22,1188604800
2007-10,309,33,1191196800
2007-11,367,21,1193875200
2007-12,424,21,1196467200
2008-01,363,28,1199145600
2008-02,204,27,1201824000
2008-03,288,25,1204329600
2008-04,238,18,1207008000
2008-05,293,30,1209600000
2008-06,211,26,1212278400
2008-07,410,26,1214870400
2008-08,344,27,1217548800
2008-09,169,20,1220227200
2008-10,310,15,1222819200
2008-11,278,26,1225497600
2008-12,297,22,1228089600
2009-01,225,24,1230768000
2009-02,293,25,1233446400
2009-03,321,24,1235865600
2009-04,351,21,1238544000
2009-05,231,22,1241136000
2009-06,221,24,1243814400
2009-07,408,21,1246406400
2009-08,383,27,1249084800
2009-09,412,24,1251763200
2009-10,295,25,1254355200
2009-11,372,21,1257033600
2009-12,318,29,1259625600
2010-01,700,36,1262304000
2010-02,559,31,1264982400
2010-03,551,30,1267401600
2010-04,391,26,1270080000
2010-05,285,31,1272672000
2010-06,262,29,1275350400
2010-07,419,30,1277942400
2010-08,352,29,1280620800
2010-09,449,27,1283299200
2010-10,421,26,1285891200
2010-11,389,26,1288569600
2010-12,464,36,1291161600
2011-01,698,34,1293840000
2011-02,384,30,1296518400
2011-03,289,31,1298937600
2011-04,589,32,1301616000
2011-05,506,40,1304208000
2011-06,483,39,1306886400
2011-07,544,40,1309478400
2011-08,450,31,1312156800
2011-09,450,35,1314835200
2011-10,281,31,1317427200
2011-11,286,26,1320105600
2011-12,275,25,1322697600
2012-01,345,25,1325376000
2012-02,207,21,1328054400
2012-03,230,24,1330560000
2012-04,153,19,1333238400
2012-05,267,29,1335830400
2012-06,277,27,1338508800
2012-07,174,20,1341100800
2012-08,138,25,1343779200
2012-09,111,18,1346457600
2012-10,103,16,1349049600
2012-11,154,22,1351728000
2012-12,155,21,1354320000
2013-01,268,16,1356998400
2013-02,139,22,1359676800
2013-03,228,27,1362096000
2013-04,125,18,1364774400
2013-05,169,14,1367366400
2013-06,234,16,1370044800
2013-07,164,16,1372636800
2013-08,166,19,1375315200
2013-09,230,18,1377993600
2013-10,136,17,1380585600
2013-11,315,19,1383264000
2013-12,243,18,1385856000
2014-01,163,15,1388534400
2014-02,223,18,1391212800
2014-03,229,15,1393632000
2014-04,215,17,1396310400
2014-05,378,25,1398902400
2014-06,250,21,1401580800
2014-07,316,19,1404172800
2014-08,112,14,1406851200
2014-09,151,17,1409529600
2014-10,282,15,1412121600
2014-11,189,17,1414800000
2014-12,304,22,1417392000
