YYYY-MM,nCommits,nAuthors,timestamp
2011-06,942,16,1306886400
2011-07,1454,15,1309478400
2011-08,2050,14,1312156800
2011-09,1595,14,1314835200
2011-10,1720,19,1317427200
2011-11,1505,20,1320105600
2011-12,1304,17,1322697600
2012-01,1910,16,1325376000
2012-02,1136,17,1328054400
2012-03,780,18,1330560000
2012-04,747,26,1333238400
2012-05,964,26,1335830400
2012-06,1119,31,1338508800
2012-07,1450,28,1341100800
2012-08,1623,35,1343779200
2012-09,1535,36,1346457600
2012-10,1706,39,1349049600
2012-11,1517,37,1351728000
2012-12,1291,39,1354320000
2013-01,1534,32,1356998400
2013-02,1496,33,1359676800
2013-03,1158,28,1362096000
2013-04,2224,35,1364774400
2013-05,730,32,1367366400
2013-06,484,29,1370044800
2013-07,418,27,1372636800
2013-08,530,24,1375315200
2013-09,564,22,1377993600
2013-10,868,27,1380585600
2013-11,623,25,1383264000
2013-12,224,26,1385856000
2014-01,339,24,1388534400
2014-02,259,22,1391212800
2014-03,398,25,1393632000
2014-04,213,23,1396310400
2014-05,332,26,1398902400
2014-06,371,34,1401580800
2014-07,285,26,1404172800
2014-08,256,30,1406851200
2014-09,144,23,1409529600
2014-10,192,22,1412121600
2014-11,89,18,1414800000
2014-12,131,21,1417392000
2015-01,161,25,1420070400
2015-02,252,24,1422748800
2015-03,242,20,1425168000
2015-04,108,20,1427846400
2015-05,143,22,1430438400
2015-06,150,25,1433116800
2015-07,170,31,1435708800
2015-08,191,19,1438387200
2015-09,125,21,1441065600
2015-10,136,21,1443657600
2015-11,176,26,1446336000
2015-12,147,22,1448928000
2016-01,160,26,1451606400
2016-02,196,25,1454284800
2016-03,292,37,1456790400
2016-04,206,28,1459468800
2016-05,219,32,1462060800
2016-06,211,29,1464739200
2016-07,149,26,1467331200
2016-08,209,32,1470009600
2016-09,220,35,1472688000
2016-10,170,26,1475280000
2016-11,123,20,1477958400
2016-12,93,18,1480550400
2017-01,170,21,1483228800
2017-02,149,20,1485907200
2017-03,209,28,1488326400
2017-04,180,19,1491004800
2017-05,109,12,1493596800
2017-06,185,36,1496275200
2017-07,136,18,1498867200
2017-08,127,17,1501545600
2017-09,207,23,1504224000
2017-10,199,18,1506816000
2017-11,131,21,1509494400
2017-12,106,21,1512086400
2018-01,189,21,1514764800
2018-02,117,29,1517443200
2018-03,147,26,1519862400
2018-04,213,28,1522540800
2018-05,204,27,1525132800
2018-06,244,37,1527811200
2018-07,429,37,1530403200
2018-08,217,37,1533081600
2018-09,172,35,1535760000
2018-10,223,47,1538352000
2018-11,173,33,1541030400
2018-12,186,36,1543622400
2019-01,193,31,1546300800
2019-02,154,35,1548979200
2019-03,247,31,1551398400
2019-04,224,31,1554076800
2019-05,301,29,1556668800
2019-06,192,24,1559347200
2019-07,174,21,1561939200
2019-08,265,22,1564617600
2019-09,113,17,1567296000
2019-10,144,20,1569888000
2019-11,193,18,1572566400
2019-12,95,16,1575158400
2020-01,229,35,1577836800
2020-02,122,17,1580515200
2020-03,164,19,1583020800
2020-04,170,16,1585699200
2020-05,160,17,1588291200
2020-06,221,22,1590969600
2020-07,214,24,1593561600
2020-08,140,22,1596240000
2020-09,48,19,1598918400
