YYYY-MM,nCommits,nAuthors,timestamp
2017-08,51,3,1501545600
2017-09,30,1,1504224000
2018-01,22,2,1514764800
2018-02,44,5,1517443200
2018-03,103,4,1519862400
2018-04,26,9,1522540800
2018-05,7,4,1525132800
2018-06,50,2,1527811200
2018-07,39,5,1530403200
2018-08,13,6,1533081600
2018-09,41,6,1535760000
2018-10,28,4,1538352000
2018-11,39,4,1541030400
2018-12,6,3,1543622400
2019-01,3,3,1546300800
2019-02,2,2,1548979200
2019-03,5,2,1551398400
2019-04,9,4,1554076800
2019-05,15,3,1556668800
2019-06,6,3,1559347200
2019-07,13,4,1561939200
2019-08,4,2,1564617600
2019-09,5,2,1567296000
2019-10,1,1,1569888000
2019-11,2,2,1572566400
2019-12,9,3,1575158400
2020-03,38,2,1583020800
2020-04,1,1,1585699200
2020-05,1,1,1588291200
2020-08,6,3,1596240000
