YYYY-MM,nCommits,nAuthors,timestamp
2013-07,1,1,1372636800
2013-11,23,6,1383264000
2013-12,32,9,1385856000
2014-01,39,7,1388534400
2014-02,52,8,1391212800
2014-03,19,7,1393632000
2014-04,34,11,1396310400
2014-05,19,8,1398902400
2014-06,26,9,1401580800
2014-07,41,12,1404172800
2014-08,35,12,1406851200
2014-09,37,8,1409529600
2014-10,53,9,1412121600
2014-11,66,14,1414800000
2014-12,131,13,1417392000
2015-01,128,13,1420070400
2015-02,240,16,1422748800
2015-03,210,16,1425168000
2015-04,159,11,1427846400
2015-05,111,12,1430438400
2015-06,131,13,1433116800
2015-07,262,17,1435708800
2015-08,105,11,1438387200
2015-09,123,13,1441065600
2015-10,223,18,1443657600
2015-11,213,14,1446336000
2015-12,196,16,1448928000
2016-01,244,15,1451606400
2016-02,303,16,1454284800
2016-03,169,15,1456790400
2016-04,181,16,1459468800
2016-05,159,15,1462060800
2016-06,128,12,1464739200
2016-07,116,14,1467331200
2016-08,68,10,1470009600
2016-09,42,8,1472688000
2016-10,45,9,1475280000
2016-11,109,8,1477958400
2016-12,122,11,1480550400
2017-01,119,12,1483228800
2017-02,118,10,1485907200
2017-03,170,11,1488326400
2017-04,130,15,1491004800
2017-05,201,14,1493596800
2017-06,319,19,1496275200
2017-07,313,18,1498867200
2017-08,369,29,1501545600
2017-09,289,31,1504224000
2017-10,624,27,1506816000
2017-11,572,21,1509494400
2017-12,480,26,1512086400
2018-01,508,28,1514764800
2018-02,571,22,1517443200
2018-03,183,17,1519862400
2018-04,184,13,1522540800
2018-05,149,15,1525132800
2018-06,160,12,1527811200
2018-07,89,12,1530403200
2018-08,274,13,1533081600
2018-09,229,14,1535760000
2018-10,370,11,1538352000
2018-11,241,5,1541030400
2018-12,35,4,1543622400
2019-01,32,5,1546300800
2019-02,45,3,1548979200
2019-03,24,2,1551398400
2019-04,107,3,1554076800
2019-05,80,3,1556668800
2019-06,64,2,1559347200
2019-07,22,3,1561939200
2019-08,38,2,1564617600
2019-09,77,2,1567296000
2019-10,169,2,1569888000
2019-11,150,3,1572566400
