YYYY-MM,nCommits,nAuthors,timestamp
2011-08,36,9,1312156800
2011-09,44,6,1314835200
2011-10,72,5,1317427200
2011-11,161,5,1320105600
2011-12,60,10,1322697600
2012-01,38,8,1325376000
2012-02,164,16,1328054400
2012-03,137,12,1330560000
2012-04,74,15,1333238400
2012-05,112,13,1335830400
2012-06,41,11,1338508800
2012-07,25,5,1341100800
2012-08,109,18,1343779200
2012-09,92,20,1346457600
2012-10,81,12,1349049600
2012-11,141,21,1351728000
2012-12,221,17,1354320000
2013-01,90,19,1356998400
2013-02,158,27,1359676800
2013-03,147,20,1362096000
2013-04,57,15,1364774400
2013-05,187,31,1367366400
2013-06,136,22,1370044800
2013-07,155,20,1372636800
2013-08,58,15,1375315200
2013-09,123,18,1377993600
2013-10,77,14,1380585600
2013-11,51,12,1383264000
2013-12,70,21,1385856000
2014-01,103,25,1388534400
2014-02,369,39,1391212800
2014-03,118,28,1393632000
2014-04,149,26,1396310400
2014-05,53,18,1398902400
2014-06,140,27,1401580800
2014-07,86,28,1404172800
2014-08,84,23,1406851200
2014-09,67,24,1409529600
2014-10,93,26,1412121600
2014-11,143,21,1414800000
2014-12,800,56,1417392000
2015-01,849,58,1420070400
2015-02,574,32,1422748800
2015-03,1043,40,1425168000
2015-04,877,40,1427846400
2015-05,979,39,1430438400
2015-06,561,37,1433116800
2015-07,857,40,1435708800
2015-08,202,24,1438387200
2015-09,120,16,1441065600
2015-10,194,15,1443657600
2015-11,76,7,1446336000
2015-12,127,15,1448928000
2016-01,55,25,1451606400
2016-02,228,18,1454284800
2016-03,767,34,1456790400
2016-04,1096,46,1459468800
2016-05,557,31,1462060800
2016-06,834,38,1464739200
2016-07,1160,33,1467331200
2016-08,613,28,1470009600
2016-09,646,30,1472688000
2016-10,587,27,1475280000
2016-11,538,37,1477958400
2016-12,818,62,1480550400
2017-01,267,41,1483228800
2017-02,383,49,1485907200
2017-03,724,66,1488326400
2017-04,805,61,1491004800
2017-05,795,67,1493596800
2017-06,491,58,1496275200
2017-07,283,40,1498867200
2017-08,325,45,1501545600
2017-09,618,38,1504224000
2017-10,1049,73,1506816000
2017-11,953,67,1509494400
2017-12,818,76,1512086400
2018-01,948,89,1514764800
2018-02,1166,89,1517443200
2018-03,918,44,1519862400
2018-04,738,55,1522540800
2018-05,737,46,1525132800
2018-06,495,37,1527811200
2018-07,464,44,1530403200
2018-08,408,60,1533081600
2018-09,547,57,1535760000
2018-10,710,85,1538352000
2018-11,514,51,1541030400
2018-12,301,45,1543622400
2019-01,536,79,1546300800
2019-02,486,72,1548979200
2019-03,555,72,1551398400
2019-04,552,71,1554076800
2019-05,872,78,1556668800
2019-06,772,72,1559347200
2019-07,894,72,1561939200
2019-08,863,76,1564617600
2019-09,737,84,1567296000
2019-10,611,101,1569888000
2019-11,711,95,1572566400
2019-12,739,91,1575158400
2020-01,861,101,1577836800
2020-02,567,68,1580515200
2020-03,745,80,1583020800
2020-04,864,100,1585699200
2020-05,715,103,1588291200
2020-06,891,115,1590969600
2020-07,1176,110,1593561600
2020-08,816,90,1596240000
2020-09,145,39,1598918400
