YYYY-MM,nCommits,nAuthors,timestamp
2010-05,5,1,1272672000
2010-06,1,1,1275350400
2010-09,2,1,1283299200
2010-10,7,1,1285891200
2010-11,4,1,1288569600
2010-12,14,1,1291161600
2011-01,15,1,1293840000
2011-02,57,1,1296518400
2011-03,101,1,1298937600
2011-04,48,1,1301616000
2011-05,116,2,1304208000
2011-06,129,4,1306886400
2011-07,146,5,1309478400
2011-08,58,4,1312156800
2011-09,75,4,1314835200
2011-10,73,6,1317427200
2011-11,69,5,1320105600
2011-12,22,3,1322697600
2012-01,51,2,1325376000
2012-02,100,5,1328054400
2012-03,64,5,1330560000
2012-04,76,3,1333238400
2012-05,3,1,1335830400
2012-06,55,2,1338508800
2012-07,32,2,1341100800
2012-08,14,3,1343779200
2012-09,59,4,1346457600
2012-10,58,3,1349049600
2012-11,93,2,1351728000
2012-12,61,3,1354320000
2013-01,112,5,1356998400
2013-02,58,3,1359676800
2013-03,29,3,1362096000
2013-04,21,2,1364774400
2013-05,9,1,1367366400
2013-06,17,4,1370044800
2013-07,11,1,1372636800
2013-08,2,2,1375315200
2013-10,1,1,1380585600
2014-01,33,4,1388534400
2014-02,54,4,1391212800
2014-03,43,3,1393632000
2014-04,4,2,1396310400
2014-05,17,2,1398902400
2014-06,61,3,1401580800
2014-07,44,3,1404172800
2014-08,27,2,1406851200
2014-09,74,3,1409529600
2014-10,36,2,1412121600
2014-11,47,2,1414800000
2014-12,6,1,1417392000
2015-01,10,3,1420070400
2015-02,13,3,1422748800
2015-03,34,3,1425168000
2015-04,47,6,1427846400
2015-05,17,5,1430438400
2015-06,3,3,1433116800
2015-07,33,4,1435708800
2015-09,1,1,1441065600
2015-10,28,3,1443657600
2015-11,8,1,1446336000
2015-12,7,1,1448928000
2016-01,78,7,1451606400
2016-02,13,3,1454284800
2016-03,36,4,1456790400
2016-04,33,3,1459468800
2016-05,15,3,1462060800
2016-06,11,1,1464739200
2016-08,5,2,1470009600
2016-09,4,1,1472688000
2016-10,3,2,1475280000
2017-02,7,1,1485907200
2017-05,1,1,1493596800
2017-06,3,2,1496275200
2017-09,9,1,1504224000
2017-10,6,2,1506816000
2018-01,5,1,1514764800
2018-03,13,3,1519862400
2018-04,14,1,1522540800
2018-05,16,1,1525132800
2018-06,1,1,1527811200
2018-07,4,1,1530403200
2018-08,2,2,1533081600
2018-10,13,2,1538352000
2018-11,20,3,1541030400
2018-12,1,1,1543622400
2019-01,7,1,1546300800
2019-02,3,1,1548979200
2019-04,3,1,1554076800
2019-06,4,1,1559347200
2019-07,41,2,1561939200
2019-08,4,2,1564617600
2019-10,2,2,1569888000
2019-12,3,2,1575158400
2020-01,17,1,1577836800
2020-02,10,1,1580515200
2020-04,64,3,1585699200
2020-05,93,4,1588291200
2020-06,7,3,1590969600
2020-07,10,3,1593561600
2020-08,2,1,1596240000
