YYYY-MM,nCommits,nAuthors,timestamp
2016-05,134,11,1462060800
2016-06,524,28,1464739200
2016-07,175,16,1467331200
2016-08,153,13,1470009600
2016-09,181,11,1472688000
2016-10,37,7,1475280000
2016-11,20,4,1477958400
2016-12,96,15,1480550400
2017-01,100,15,1483228800
2017-02,161,12,1485907200
2017-03,161,15,1488326400
2017-04,319,25,1491004800
2017-05,262453,26,1493596800
2017-06,239,27,1496275200
2017-07,185,29,1498867200
2017-08,255,19,1501545600
2017-09,330,20,1504224000
2017-10,262364,21,1506816000
2017-11,220,25,1509494400
2017-12,263,17,1512086400
2018-01,197,18,1514764800
2018-02,215,24,1517443200
2018-03,161,17,1519862400
2018-04,194,20,1522540800
2018-05,221,12,1525132800
2018-06,240,23,1527811200
2018-07,144,19,1530403200
2018-08,169,22,1533081600
2018-09,133,16,1535760000
2018-10,129,20,1538352000
2018-11,125,18,1541030400
2018-12,145,19,1543622400
2019-01,159,25,1546300800
2019-02,267,23,1548979200
2019-03,131,20,1551398400
2019-04,117,20,1554076800
2019-05,108,19,1556668800
2019-06,95,13,1559347200
2019-07,215,15,1561939200
2019-08,158,13,1564617600
2019-09,129,15,1567296000
2019-10,79,18,1569888000
2019-11,81,16,1572566400
2019-12,67,15,1575158400
2020-01,79,9,1577836800
2020-02,94,11,1580515200
2020-03,136,13,1583020800
2020-04,81,21,1585699200
2020-05,89,13,1588291200
2020-06,29,8,1590969600
2020-07,70,8,1593561600
2020-08,99,11,1596240000
2020-09,29,12,1598918400
