YYYY-MM,nCommits,nAuthors,timestamp
2014-10,58,6,1412121600
2014-11,53,3,1414800000
2014-12,69,4,1417392000
2015-01,102,7,1420070400
2015-02,160,6,1422748800
2015-03,296,9,1425168000
2015-04,43,6,1427846400
2015-05,85,6,1430438400
2015-06,158,5,1433116800
2015-07,102,9,1435708800
2015-08,62,6,1438387200
2015-09,4,3,1441065600
2015-10,1,1,1443657600
2015-11,7,3,1446336000
2015-12,4,2,1448928000
2016-01,7,4,1451606400
2016-02,6,2,1454284800
2016-03,178,12,1456790400
2016-04,171,9,1459468800
2016-05,194,11,1462060800
2016-06,74,9,1464739200
2016-07,57,8,1467331200
2016-08,42,8,1470009600
2016-09,46,7,1472688000
2016-10,166,8,1475280000
2016-11,151,8,1477958400
2016-12,130,9,1480550400
2017-01,269,12,1483228800
2017-02,328,11,1485907200
2017-03,509,17,1488326400
2017-04,439,14,1491004800
2017-05,372,11,1493596800
2017-06,591,10,1496275200
2017-07,377,9,1498867200
2017-08,556,7,1501545600
2017-09,483,7,1504224000
2017-10,195,7,1506816000
2017-11,157,5,1509494400
2017-12,120,9,1512086400
2018-01,126,5,1514764800
2018-02,49,4,1517443200
2018-03,100,6,1519862400
2018-04,89,6,1522540800
2018-05,52,7,1525132800
2018-06,115,7,1527811200
2018-07,75,7,1530403200
2018-08,64,4,1533081600
2018-09,135,4,1535760000
2018-10,171,8,1538352000
2018-11,289,9,1541030400
2018-12,72,6,1543622400
2019-01,131,5,1546300800
2019-02,93,3,1548979200
2019-03,135,5,1551398400
2019-04,279,9,1554076800
2019-05,226,11,1556668800
2019-06,260,9,1559347200
2019-07,279,6,1561939200
2019-08,237,5,1564617600
2019-09,218,8,1567296000
2019-10,144,7,1569888000
2019-11,146,4,1572566400
2019-12,129,6,1575158400
2020-01,156,5,1577836800
2020-02,172,3,1580515200
2020-03,171,3,1583020800
2020-04,73,5,1585699200
2020-05,96,3,1588291200
2020-06,28,3,1590969600
2020-07,79,7,1593561600
2020-08,109,10,1596240000
