YYYY-MM,nCommits,nAuthors,timestamp
2011-11,17,3,1320105600
2012-01,9,3,1325376000
2012-02,109,3,1328054400
2012-03,51,3,1330560000
2012-04,48,3,1333238400
2012-05,130,3,1335830400
2012-06,118,3,1338508800
2012-07,94,2,1341100800
2012-08,83,2,1343779200
2012-09,4,1,1346457600
2012-10,12,3,1349049600
2012-11,59,2,1351728000
2012-12,105,2,1354320000
2013-01,6,1,1356998400
2013-02,18,2,1359676800
2013-03,10,2,1362096000
2013-04,16,2,1364774400
2013-05,40,3,1367366400
2013-06,148,6,1370044800
2013-07,41,4,1372636800
2013-08,35,5,1375315200
2013-09,67,4,1377993600
2013-10,31,4,1380585600
2013-11,17,6,1383264000
2013-12,46,3,1385856000
2014-01,95,3,1388534400
2014-02,125,8,1391212800
2014-03,471,8,1393632000
2014-04,748,6,1396310400
2014-05,462,4,1398902400
2014-06,105,4,1401580800
2014-07,272,5,1404172800
2014-08,608,10,1406851200
2014-09,476,16,1409529600
2014-10,985,13,1412121600
2014-11,301,6,1414800000
2014-12,67,3,1417392000
2015-01,235,6,1420070400
2015-02,122,6,1422748800
2015-03,220,3,1425168000
2015-04,149,6,1427846400
2015-05,179,4,1430438400
2015-06,141,6,1433116800
2015-07,206,4,1435708800
2015-08,144,2,1438387200
2015-09,145,3,1441065600
2015-10,213,7,1443657600
2015-11,155,4,1446336000
2015-12,112,5,1448928000
2016-01,278,8,1451606400
2016-02,180,2,1454284800
2016-03,147,3,1456790400
2016-04,79,3,1459468800
2016-05,182,4,1462060800
2016-06,284,4,1464739200
2016-07,404,5,1467331200
2016-08,426,3,1470009600
2016-09,166,3,1472688000
2016-10,332,5,1475280000
2016-11,107,5,1477958400
2016-12,398,5,1480550400
2017-01,201,6,1483228800
2017-02,218,5,1485907200
2017-03,342,8,1488326400
2017-04,140,6,1491004800
2017-05,88,7,1493596800
2017-06,198,4,1496275200
2017-07,87,3,1498867200
2017-08,60,4,1501545600
2017-09,111,6,1504224000
2017-10,132,5,1506816000
2017-11,142,8,1509494400
2017-12,105,7,1512086400
2018-01,126,5,1514764800
2018-02,108,5,1517443200
2018-03,277,6,1519862400
2018-04,213,7,1522540800
2018-05,286,9,1525132800
2018-06,177,8,1527811200
2018-07,265,8,1530403200
2018-08,347,8,1533081600
2018-09,176,6,1535760000
2018-10,195,6,1538352000
2018-11,266,6,1541030400
2018-12,157,6,1543622400
2019-01,260,6,1546300800
2019-02,744,7,1548979200
2019-03,917,6,1551398400
2019-04,337,6,1554076800
2019-05,368,6,1556668800
2019-06,417,6,1559347200
2019-07,278,9,1561939200
2019-08,252,6,1564617600
2019-09,507,8,1567296000
2019-10,544,5,1569888000
2019-11,651,5,1572566400
2019-12,345,6,1575158400
2020-01,334,4,1577836800
2020-02,210,4,1580515200
2020-03,156,4,1583020800
2020-04,382,6,1585699200
2020-05,91,6,1588291200
2020-06,236,7,1590969600
2020-07,182,5,1593561600
2020-08,143,5,1596240000
2020-09,20,3,1598918400
