YYYY-MM,nCommits,nAuthors,timestamp
2015-10,27,5,1443657600
2015-11,139,8,1446336000
2015-12,49,3,1448928000
2016-01,44,3,1451606400
2016-02,74,5,1454284800
2016-03,47,4,1456790400
2016-04,33,6,1459468800
2016-05,25,4,1462060800
2016-06,78,4,1464739200
2016-07,24,3,1467331200
2016-08,118,8,1470009600
2016-09,83,4,1472688000
2016-10,52,7,1475280000
2016-11,225,8,1477958400
2016-12,34,8,1480550400
2017-01,147,6,1483228800
2017-02,75,6,1485907200
2017-03,75,5,1488326400
2017-04,64,5,1491004800
2017-05,37,7,1493596800
2017-06,37,4,1496275200
2017-07,26,3,1498867200
2017-08,34,5,1501545600
2017-09,88,4,1504224000
2017-10,135,7,1506816000
2017-11,160,8,1509494400
2017-12,59,7,1512086400
2018-01,36,6,1514764800
2018-02,21,3,1517443200
2018-03,23,9,1519862400
2018-04,33,6,1522540800
2018-05,36,10,1525132800
2018-06,51,9,1527811200
2018-07,131,10,1530403200
2018-08,71,7,1533081600
2018-09,83,10,1535760000
2018-10,87,10,1538352000
2018-11,75,12,1541030400
2018-12,171,16,1543622400
2019-01,112,17,1546300800
2019-02,98,17,1548979200
2019-03,34,8,1551398400
2019-04,259,14,1554076800
2019-05,462,17,1556668800
2019-06,407,19,1559347200
2019-07,429,18,1561939200
2019-08,305,13,1564617600
2019-09,513,27,1567296000
2019-10,819,28,1569888000
2019-11,587,23,1572566400
2019-12,533,17,1575158400
2020-01,277,22,1577836800
2020-02,311,23,1580515200
2020-03,549,32,1583020800
2020-04,436,30,1585699200
2020-05,410,18,1588291200
2020-06,363,17,1590969600
2020-07,345,14,1593561600
2020-08,272,13,1596240000
2020-09,44,10,1598918400
