YYYY-MM,nCommits,nAuthors,timestamp
1999-03,7,1,920246400
1999-07,2,1,930787200
2000-03,100,1,951868800
2000-04,14,1,954547200
2000-05,2,1,957139200
2000-06,12,1,959817600
2000-07,42,1,962409600
2000-08,2,1,965088000
2000-09,30,1,967766400
2000-11,10,1,973036800
2000-12,8,1,975628800
2001-01,2,1,978307200
2001-02,36,1,980985600
2001-03,22,2,983404800
2001-04,82,1,986083200
2001-05,10,1,988675200
2001-06,6,1,991353600
2001-08,20,1,996624000
2001-09,8,1,999302400
2001-11,4,1,1004572800
2002-01,16,1,1009843200
2002-02,6,1,1012521600
2002-03,6,1,1014940800
2002-04,30,1,1017619200
2002-05,4,1,1020211200
2002-06,16,1,1022889600
2002-07,22,2,1025481600
2002-10,2,1,1033430400
2002-11,6,1,1036108800
2002-12,46,1,1038700800
2003-01,2,1,1041379200
2003-02,6,1,1044057600
2003-03,144,2,1046476800
2003-04,8,1,1049155200
2003-06,6,1,1054425600
2003-08,18,1,1059696000
2003-09,4,1,1062374400
2003-10,4,1,1064966400
2003-11,2,1,1067644800
2003-12,2,1,1070236800
2004-01,8,1,1072915200
2004-02,6,1,1075593600
2004-04,22,1,1080777600
2004-05,62,1,1083369600
2004-07,10,1,1088640000
2004-08,4,1,1091318400
2004-09,16,1,1093996800
2004-10,98,2,1096588800
2004-11,2,1,1099267200
2004-12,4,2,1101859200
2005-01,4,1,1104537600
2005-02,4,1,1107216000
2005-04,4,2,1112313600
2005-05,8,1,1114905600
2005-06,2,1,1117584000
2005-07,22,2,1120176000
2005-08,2,1,1122854400
2005-10,12,1,1128124800
2005-11,8,1,1130803200
2005-12,2,1,1133395200
2006-01,14,1,1136073600
2006-02,2,1,1138752000
2006-03,12,1,1141171200
2006-04,10,1,1143849600
2006-05,4,1,1146441600
2006-06,4,1,1149120000
2006-07,6,1,1151712000
2006-09,12,1,1157068800
2006-10,52,2,1159660800
2006-11,8,2,1162339200
2006-12,10,2,1164931200
2007-01,10,2,1167609600
2007-03,14,1,1172707200
2007-04,6,1,1175385600
2007-06,2,1,1180656000
2007-07,2,1,1183248000
2007-08,2,1,1185926400
2007-09,8,1,1188604800
2007-11,16,1,1193875200
2007-12,24,2,1196467200
2008-01,16,2,1199145600
2008-02,10,2,1201824000
2008-03,8,2,1204329600
2008-04,4,2,1207008000
2008-05,12,1,1209600000
2008-06,2,1,1212278400
2008-07,28,2,1214870400
2008-08,18,1,1217548800
2008-09,6,1,1220227200
2008-11,2,1,1225497600
2009-01,12,1,1230768000
2009-02,6,1,1233446400
2009-03,21,4,1235865600
2009-04,6,1,1238544000
2009-05,6,1,1241136000
2009-06,10,1,1243814400
2009-08,10,1,1249084800
2009-09,32,1,1251763200
2009-10,4,2,1254355200
2010-01,6,1,1262304000
2010-02,8,1,1264982400
2010-03,9,1,1267401600
2010-05,7,2,1272672000
2010-06,14,1,1275350400
2010-07,6,1,1277942400
2010-08,6,1,1280620800
2010-09,6,1,1283299200
2010-10,4,1,1285891200
2011-01,2,1,1293840000
2011-02,14,1,1296518400
2011-03,6,1,1298937600
2011-05,28,1,1304208000
2011-06,8,2,1306886400
2011-07,6,1,1309478400
