YYYY-MM,nCommits,nAuthors,timestamp
2013-12,66,3,1385856000
2014-01,46,7,1388534400
2014-02,37,5,1391212800
2014-03,119,8,1393632000
2014-04,106,12,1396310400
2014-05,25,7,1398902400
2014-06,23,5,1401580800
2014-07,124,13,1404172800
2014-08,89,10,1406851200
2014-09,23,7,1409529600
2014-10,78,11,1412121600
2014-11,45,8,1414800000
2014-12,20,6,1417392000
2015-01,37,9,1420070400
2015-02,52,10,1422748800
2015-03,47,9,1425168000
2015-04,28,5,1427846400
2015-05,22,8,1430438400
2015-06,15,7,1433116800
2015-07,51,10,1435708800
2015-08,26,8,1438387200
2015-09,55,10,1441065600
2015-10,50,9,1443657600
2015-11,113,9,1446336000
2015-12,25,10,1448928000
2016-01,37,10,1451606400
2016-02,45,15,1454284800
2016-03,30,7,1456790400
2016-04,97,6,1459468800
2016-05,253,6,1462060800
2016-06,81,7,1464739200
2016-07,31,6,1467331200
2016-08,11,4,1470009600
2016-09,38,9,1472688000
2016-10,31,7,1475280000
2016-11,29,7,1477958400
2016-12,10,3,1480550400
2017-01,33,11,1483228800
2017-02,4,3,1485907200
2017-03,15,8,1488326400
2017-04,4,4,1491004800
2017-05,53,15,1493596800
2017-06,78,14,1496275200
2017-07,111,19,1498867200
2017-08,4,4,1501545600
2017-09,18,8,1504224000
2017-10,36,12,1506816000
2017-11,30,14,1509494400
2017-12,71,15,1512086400
2018-01,52,12,1514764800
2018-02,89,13,1517443200
2018-03,82,13,1519862400
2018-04,135,18,1522540800
2018-05,62,10,1525132800
2018-06,101,15,1527811200
2018-07,82,18,1530403200
2018-08,31,7,1533081600
2018-09,134,16,1535760000
2018-10,106,16,1538352000
2018-11,73,18,1541030400
2018-12,67,13,1543622400
2019-01,98,16,1546300800
2019-02,141,17,1548979200
2019-03,146,20,1551398400
2019-04,174,22,1554076800
2019-05,113,16,1556668800
2019-06,140,24,1559347200
2019-07,106,19,1561939200
2019-08,31,6,1564617600
2019-09,162,18,1567296000
2019-10,105,17,1569888000
2019-11,91,22,1572566400
2019-12,141,15,1575158400
2020-01,109,16,1577836800
2020-02,172,15,1580515200
2020-03,163,26,1583020800
2020-04,201,24,1585699200
2020-05,184,23,1588291200
2020-06,264,26,1590969600
2020-07,108,20,1593561600
2020-08,57,14,1596240000
2020-09,25,12,1598918400
