YYYY-MM,nCommits,nAuthors,timestamp
2015-02,31,6,1422748800
2015-03,31,9,1425168000
2015-04,10,2,1427846400
2015-05,151,7,1430438400
2015-06,182,7,1433116800
2015-07,173,9,1435708800
2015-08,133,14,1438387200
2015-09,58,9,1441065600
2015-10,52,12,1443657600
2015-11,79,9,1446336000
2015-12,83,9,1448928000
2016-01,148,15,1451606400
2016-02,153,15,1454284800
2016-03,107,16,1456790400
2016-04,195,21,1459468800
2016-05,374,19,1462060800
2016-06,181,20,1464739200
2016-07,200,26,1467331200
2016-08,73,18,1470009600
2016-09,24,14,1472688000
2016-10,44,13,1475280000
2016-11,59,15,1477958400
2016-12,19,8,1480550400
2017-01,74,17,1483228800
2017-02,77,14,1485907200
2017-03,37,14,1488326400
2017-04,132,26,1491004800
2017-05,63,13,1493596800
2017-06,79,9,1496275200
2017-07,143,20,1498867200
2017-08,49,13,1501545600
2017-09,65,11,1504224000
2017-10,129,17,1506816000
2017-11,68,11,1509494400
2017-12,84,10,1512086400
2018-01,110,17,1514764800
2018-02,114,12,1517443200
2018-03,38,10,1519862400
2018-04,18,5,1522540800
2018-05,111,10,1525132800
2018-06,47,7,1527811200
2018-07,160,19,1530403200
2018-08,144,23,1533081600
2018-09,104,15,1535760000
2018-10,89,18,1538352000
2018-11,30,12,1541030400
2018-12,75,19,1543622400
2019-01,47,12,1546300800
2019-02,28,8,1548979200
2019-03,32,11,1551398400
2019-04,25,9,1554076800
2019-05,57,9,1556668800
2019-06,24,9,1559347200
2019-07,20,7,1561939200
2019-08,73,7,1564617600
2019-09,39,6,1567296000
2019-10,34,13,1569888000
2019-11,10,4,1572566400
2019-12,29,9,1575158400
2020-01,32,12,1577836800
2020-02,18,6,1580515200
2020-03,100,16,1583020800
2020-04,51,12,1585699200
2020-05,14,8,1588291200
2020-06,53,10,1590969600
2020-07,27,10,1593561600
2020-08,50,11,1596240000
