YYYY-MM,nCommits,nAuthors,timestamp
2004-08,146,6,1091318400
2004-09,177,6,1093996800
2004-10,9,1,1096588800
2004-11,196,10,1099267200
2004-12,310,9,1101859200
2005-01,416,9,1104537600
2005-02,160,9,1107216000
2005-03,197,10,1109635200
2005-04,124,10,1112313600
2005-05,147,10,1114905600
2005-06,115,9,1117584000
2005-07,261,10,1120176000
2005-08,119,9,1122854400
2005-09,100,9,1125532800
2005-10,100,7,1128124800
2005-11,130,7,1130803200
2005-12,104,8,1133395200
2006-01,138,6,1136073600
2006-02,151,5,1138752000
2006-03,311,11,1141171200
2006-04,285,11,1143849600
2006-05,232,12,1146441600
2006-06,174,10,1149120000
2006-07,103,8,1151712000
2006-08,300,11,1154390400
2006-09,188,9,1157068800
2006-10,317,9,1159660800
2006-11,192,9,1162339200
2006-12,252,10,1164931200
2007-01,436,13,1167609600
2007-02,291,13,1170288000
2007-03,223,13,1172707200
2007-04,152,10,1175385600
2007-05,215,8,1177977600
2007-06,359,12,1180656000
2007-07,244,10,1183248000
2007-08,141,9,1185926400
2007-09,145,7,1188604800
2007-10,158,8,1191196800
2007-11,172,10,1193875200
2007-12,179,10,1196467200
2008-01,294,12,1199145600
2008-02,198,10,1201824000
2008-03,132,10,1204329600
2008-04,281,12,1207008000
2008-05,360,9,1209600000
2008-06,181,10,1212278400
2008-07,156,10,1214870400
2008-08,282,10,1217548800
2008-09,157,10,1220227200
2008-10,98,8,1222819200
2008-11,88,8,1225497600
2008-12,127,7,1228089600
2009-01,442,10,1230768000
2009-02,276,10,1233446400
2009-03,301,12,1235865600
2009-04,255,10,1238544000
2009-05,279,8,1241136000
2009-06,203,10,1243814400
2009-07,288,9,1246406400
2009-08,271,12,1249084800
2009-09,324,8,1251763200
2009-10,249,8,1254355200
2009-11,408,8,1257033600
2009-12,303,11,1259625600
2010-01,290,11,1262304000
2010-02,290,11,1264982400
2010-03,218,11,1267401600
2010-04,184,9,1270080000
2010-05,166,10,1272672000
2010-06,118,11,1275350400
2010-07,213,10,1277942400
2010-08,404,9,1280620800
2010-09,149,9,1283299200
2010-10,190,11,1285891200
2010-11,281,11,1288569600
2010-12,313,10,1291161600
2011-01,248,10,1293840000
2011-02,214,9,1296518400
2011-03,111,9,1298937600
2011-04,105,10,1301616000
2011-05,120,10,1304208000
2011-06,76,8,1306886400
2011-07,82,6,1309478400
2011-08,144,9,1312156800
2011-09,95,8,1314835200
2011-10,99,8,1317427200
2011-11,296,10,1320105600
2011-12,312,12,1322697600
2012-01,168,10,1325376000
2012-02,121,8,1328054400
2012-03,62,6,1330560000
2012-04,97,6,1333238400
2012-05,102,6,1335830400
2012-06,57,3,1338508800
2012-07,79,6,1341100800
2012-08,46,8,1343779200
2012-09,60,8,1346457600
2012-10,72,8,1349049600
2012-11,117,7,1351728000
2012-12,100,8,1354320000
2013-01,76,8,1356998400
2013-02,96,6,1359676800
2013-03,67,8,1362096000
2013-04,55,5,1364774400
2013-05,87,8,1367366400
2013-06,221,9,1370044800
2013-07,83,8,1372636800
2013-08,108,5,1375315200
2013-09,45,6,1377993600
2013-10,132,7,1380585600
2013-11,167,7,1383264000
2013-12,50,5,1385856000
2014-01,93,6,1388534400
2014-02,94,8,1391212800
2014-03,49,7,1393632000
2014-04,96,6,1396310400
2014-05,68,6,1398902400
2014-06,42,6,1401580800
2014-07,37,5,1404172800
2014-08,47,5,1406851200
2014-09,165,8,1409529600
2014-10,99,7,1412121600
2014-11,18,4,1414800000
2014-12,31,5,1417392000
2015-01,29,6,1420070400
2015-02,41,3,1422748800
2015-03,36,6,1425168000
2015-04,46,6,1427846400
2015-05,26,5,1430438400
2015-06,29,4,1433116800
2015-07,24,3,1435708800
2015-08,35,5,1438387200
2015-09,13,5,1441065600
2015-10,22,2,1443657600
2015-11,25,4,1446336000
2015-12,24,5,1448928000
2016-01,20,2,1451606400
2016-02,9,2,1454284800
2016-03,12,2,1456790400
2016-04,22,2,1459468800
2016-05,35,5,1462060800
2016-06,9,3,1464739200
2016-07,14,3,1467331200
2016-08,9,2,1470009600
2016-09,24,3,1472688000
2016-10,19,3,1475280000
2016-11,5,2,1477958400
2016-12,39,3,1480550400
2017-01,22,3,1483228800
2017-02,21,3,1485907200
2017-03,72,6,1488326400
2017-04,21,2,1491004800
2017-05,10,2,1493596800
2017-06,8,2,1496275200
2017-07,6,2,1498867200
2017-08,19,5,1501545600
2017-09,13,4,1504224000
2017-10,7,2,1506816000
2017-11,3,2,1509494400
2017-12,17,3,1512086400
2018-01,11,2,1514764800
2018-02,3,1,1517443200
2018-03,26,3,1519862400
2018-04,2,1,1522540800
