YYYY-MM,nCommits,nAuthors,timestamp
2014-01,29,2,1388534400
2014-02,239,4,1391212800
2014-03,39,2,1393632000
2014-04,153,7,1396310400
2014-05,330,3,1398902400
2014-06,131,4,1401580800
2014-07,17,3,1404172800
2014-08,83,4,1406851200
2014-09,319,3,1409529600
2014-10,340,3,1412121600
2014-11,219,4,1414800000
2014-12,167,3,1417392000
2015-01,103,4,1420070400
2015-02,168,7,1422748800
2015-03,230,9,1425168000
2015-04,267,12,1427846400
2015-05,82,9,1430438400
2015-06,89,5,1433116800
2015-07,5,2,1435708800
2015-08,28,7,1438387200
2015-09,24,1,1441065600
2015-10,21,2,1443657600
2015-11,4,2,1446336000
2015-12,15,4,1448928000
2016-01,10,5,1451606400
2016-02,36,5,1454284800
2016-03,46,6,1456790400
2016-04,220,10,1459468800
2016-05,84,10,1462060800
2016-06,76,6,1464739200
2016-07,103,7,1467331200
2016-08,241,8,1470009600
2016-09,411,11,1472688000
2016-10,84,5,1475280000
2016-11,113,7,1477958400
2016-12,115,7,1480550400
2017-01,158,6,1483228800
2017-02,279,9,1485907200
2017-03,47,10,1488326400
2017-04,45,7,1491004800
2017-05,89,13,1493596800
2017-06,46,10,1496275200
2017-07,26,8,1498867200
2017-08,24,5,1501545600
2017-09,16,4,1504224000
2017-10,48,5,1506816000
2017-11,121,8,1509494400
2017-12,35,9,1512086400
2018-01,88,7,1514764800
2018-02,219,10,1517443200
2018-03,84,7,1519862400
2018-04,43,4,1522540800
2018-05,183,8,1525132800
2018-06,83,7,1527811200
2018-07,25,6,1530403200
2018-08,16,3,1533081600
2018-09,99,9,1535760000
2018-10,93,4,1538352000
2018-11,14,4,1541030400
2018-12,134,6,1543622400
2019-01,261,5,1546300800
2019-02,219,6,1548979200
2019-03,175,6,1551398400
2019-04,201,11,1554076800
2019-05,181,8,1556668800
2019-06,57,6,1559347200
2019-07,42,8,1561939200
2019-08,27,7,1564617600
2019-09,50,8,1567296000
2019-10,74,11,1569888000
2019-11,82,5,1572566400
2019-12,48,5,1575158400
2020-01,11,4,1577836800
2020-02,30,6,1580515200
2020-03,11,4,1583020800
2020-04,23,5,1585699200
2020-05,30,6,1588291200
2020-06,17,4,1590969600
2020-07,8,3,1593561600
2020-08,19,5,1596240000
