YYYY-MM,nCommits,nAuthors,timestamp
2001-12,1,1,1007164800
2009-12,12,1,1259625600
2010-01,54,5,1262304000
2010-02,49,7,1264982400
2010-03,36,6,1267401600
2010-04,67,4,1270080000
2010-05,50,3,1272672000
2010-06,127,7,1275350400
2010-07,143,6,1277942400
2010-08,142,8,1280620800
2010-09,87,4,1283299200
2010-10,200,8,1285891200
2010-11,81,6,1288569600
2010-12,67,6,1291161600
2011-01,107,4,1293840000
2011-02,132,3,1296518400
2011-03,26,3,1298937600
2011-04,12,5,1301616000
2011-05,23,5,1304208000
2011-06,3,1,1306886400
2011-07,8,3,1309478400
2011-08,32,2,1312156800
2011-09,17,1,1314835200
2011-10,6,3,1317427200
2011-11,10,3,1320105600
2011-12,58,3,1322697600
2012-01,35,5,1325376000
2012-02,11,3,1328054400
2012-03,8,1,1330560000
2012-04,1,1,1333238400
2012-05,1,1,1335830400
2012-10,2,1,1349049600
2012-12,4,2,1354320000
2013-01,8,1,1356998400
2013-02,6,1,1359676800
2013-03,5,2,1362096000
2013-04,4,2,1364774400
2013-06,6,3,1370044800
2013-07,1,1,1372636800
2013-09,1,1,1377993600
2013-12,2,2,1385856000
2014-01,72,5,1388534400
2014-02,156,3,1391212800
2014-03,143,4,1393632000
2014-04,13,3,1396310400
2014-05,10,2,1398902400
2014-06,13,2,1401580800
2014-07,51,2,1404172800
2014-08,172,4,1406851200
2014-09,48,3,1409529600
2014-10,81,2,1412121600
2014-11,58,2,1414800000
2014-12,13,2,1417392000
2015-01,34,4,1420070400
2015-02,24,4,1422748800
2015-03,5,2,1425168000
2015-04,93,5,1427846400
2015-05,72,3,1430438400
2015-06,91,5,1433116800
2015-07,112,3,1435708800
2015-08,86,9,1438387200
2015-09,39,4,1441065600
2015-10,17,3,1443657600
2015-11,23,8,1446336000
2015-12,95,4,1448928000
2016-01,112,5,1451606400
2016-02,60,4,1454284800
2016-03,71,9,1456790400
2016-04,60,13,1459468800
2016-05,107,11,1462060800
2016-06,79,8,1464739200
2016-07,21,2,1467331200
2016-08,10,2,1470009600
2016-09,17,4,1472688000
2016-11,141,7,1477958400
2016-12,49,7,1480550400
2017-01,4,1,1483228800
2017-03,66,5,1488326400
2017-04,6,4,1491004800
2017-05,3,2,1493596800
2017-06,9,7,1496275200
2017-08,5,2,1501545600
2017-10,4,1,1506816000
2017-11,1,1,1509494400
2018-01,90,9,1514764800
2018-02,84,6,1517443200
2018-03,3,2,1519862400
2018-04,2,2,1522540800
2019-01,2,1,1546300800
2019-03,112,6,1551398400
2019-05,111,6,1556668800
2019-06,22,1,1559347200
2019-07,42,3,1561939200
2019-08,7,2,1564617600
2019-09,9,4,1567296000
2019-10,9,1,1569888000
