YYYY-MM,nCommits,nAuthors,timestamp
2003-03,232,3,1046476800
2003-04,391,4,1049155200
2003-05,15,1,1051747200
2003-06,44,1,1054425600
2003-07,32,2,1057017600
2003-08,325,4,1059696000
2003-09,434,4,1062374400
2003-10,619,5,1064966400
2003-11,375,6,1067644800
2003-12,255,4,1070236800
2004-01,435,7,1072915200
2004-02,374,6,1075593600
2004-03,53,3,1078099200
2004-04,238,4,1080777600
2004-05,36,4,1083369600
2004-06,47,3,1086048000
2004-07,223,4,1088640000
2004-08,605,5,1091318400
2004-09,461,5,1093996800
2004-10,302,4,1096588800
2004-11,87,3,1099267200
2004-12,249,4,1101859200
2005-01,185,4,1104537600
2005-02,224,6,1107216000
2005-03,62,4,1109635200
2005-04,38,2,1112313600
2005-05,83,3,1114905600
2005-06,23,2,1117584000
2005-07,26,2,1120176000
2005-08,22,2,1122854400
2005-09,6,1,1125532800
2005-10,8,2,1128124800
2005-11,4,1,1130803200
2005-12,5,2,1133395200
2006-01,11,2,1136073600
2006-02,5,2,1138752000
2006-03,3,1,1141171200
2006-04,7,2,1143849600
2006-05,14,1,1146441600
2006-06,2,1,1149120000
2006-07,7,1,1151712000
2006-08,6,1,1154390400
2006-09,1,1,1157068800
2006-10,6,2,1159660800
2006-11,2,1,1162339200
2007-04,3,1,1175385600
2007-05,5,1,1177977600
2007-06,1,1,1180656000
2007-07,1,1,1183248000
2007-09,2,1,1188604800
2007-10,23,3,1191196800
2007-12,1,1,1196467200
2008-05,3,1,1209600000
2008-06,4,1,1212278400
2008-07,2,2,1214870400
2008-08,6,2,1217548800
2008-09,3,1,1220227200
2008-10,4,1,1222819200
2008-11,4,1,1225497600
2008-12,17,1,1228089600
2009-01,21,1,1230768000
2009-02,11,2,1233446400
2009-03,37,3,1235865600
2009-04,27,2,1238544000
2009-05,45,3,1241136000
2009-06,9,3,1243814400
2009-07,14,3,1246406400
2009-08,16,2,1249084800
2009-09,13,2,1251763200
2009-10,33,2,1254355200
2009-11,20,3,1257033600
2009-12,4,2,1259625600
2010-01,11,3,1262304000
2010-02,4,1,1264982400
2010-03,54,4,1267401600
2010-04,92,2,1270080000
2010-05,16,3,1272672000
2010-06,36,2,1275350400
2010-07,32,4,1277942400
2010-08,50,3,1280620800
2010-09,42,2,1283299200
2010-10,148,3,1285891200
2010-11,67,1,1288569600
2010-12,14,2,1291161600
2011-01,29,2,1293840000
2011-02,23,2,1296518400
2011-03,21,4,1298937600
2011-04,16,2,1301616000
