YYYY-MM,nCommits,nAuthors,timestamp
2004-08,13,3,1091318400
2004-09,56,2,1093996800
2004-10,53,3,1096588800
2004-11,7,2,1099267200
2004-12,34,3,1101859200
2005-01,3,1,1104537600
2005-02,49,2,1107216000
2005-03,34,3,1109635200
2005-04,39,1,1112313600
2005-05,118,3,1114905600
2005-06,10,3,1117584000
2005-07,81,3,1120176000
2005-08,117,3,1122854400
2005-09,34,3,1125532800
2005-10,105,2,1128124800
2005-11,62,1,1130803200
2005-12,20,1,1133395200
2006-01,41,2,1136073600
2006-02,40,1,1138752000
2006-03,30,2,1141171200
2006-04,64,2,1143849600
2006-05,34,2,1146441600
2006-06,126,2,1149120000
2006-07,46,2,1151712000
2006-08,76,2,1154390400
2006-09,22,2,1157068800
2006-10,113,2,1159660800
2006-11,115,2,1162339200
2006-12,23,2,1164931200
2007-01,55,1,1167609600
2007-02,128,1,1170288000
2007-03,37,2,1172707200
2007-04,111,1,1175385600
2007-05,63,2,1177977600
2007-06,76,2,1180656000
2007-07,19,1,1183248000
2007-08,42,2,1185926400
2007-09,36,2,1188604800
2007-10,56,2,1191196800
2007-11,125,3,1193875200
2007-12,39,2,1196467200
2008-01,16,2,1199145600
2008-02,51,2,1201824000
2008-03,49,2,1204329600
2008-04,84,3,1207008000
2008-05,70,3,1209600000
2008-06,67,2,1212278400
2008-07,152,3,1214870400
2008-08,81,4,1217548800
2008-09,120,4,1220227200
2008-10,36,5,1222819200
2008-11,24,3,1225497600
2008-12,49,5,1228089600
2009-01,56,3,1230768000
2009-02,96,5,1233446400
2009-03,75,4,1235865600
2009-04,80,5,1238544000
2009-05,72,3,1241136000
2009-06,62,5,1243814400
2009-07,43,5,1246406400
2009-08,27,4,1249084800
2009-09,44,3,1251763200
2009-10,54,3,1254355200
2009-11,43,3,1257033600
2009-12,61,3,1259625600
2010-01,22,3,1262304000
2010-02,115,3,1264982400
2010-03,59,4,1267401600
2010-04,27,4,1270080000
2010-05,85,5,1272672000
2010-06,61,4,1275350400
2010-07,20,4,1277942400
2010-08,34,3,1280620800
2010-09,27,3,1283299200
2010-10,31,1,1285891200
2010-11,40,4,1288569600
2010-12,26,4,1291161600
2011-01,15,4,1293840000
2011-02,30,3,1296518400
2011-03,45,3,1298937600
2011-04,17,3,1301616000
2011-05,37,2,1304208000
2011-06,15,3,1306886400
2011-07,49,2,1309478400
2011-08,41,3,1312156800
2011-09,12,2,1314835200
2011-10,18,5,1317427200
2011-11,2,1,1320105600
2011-12,22,4,1322697600
2012-01,7,4,1325376000
2012-02,15,4,1328054400
2012-03,39,4,1330560000
2012-04,21,3,1333238400
2012-05,26,4,1335830400
2012-06,15,2,1338508800
2012-07,22,3,1341100800
2012-08,17,2,1343779200
2012-09,13,3,1346457600
2012-10,10,4,1349049600
2012-11,26,2,1351728000
2012-12,3,2,1354320000
2013-01,11,1,1356998400
2013-02,58,4,1359676800
2013-03,12,3,1362096000
2013-04,44,6,1364774400
2013-05,65,5,1367366400
2013-06,12,3,1370044800
2013-07,20,2,1372636800
2013-08,28,3,1375315200
2013-09,16,3,1377993600
2013-10,58,5,1380585600
2013-11,40,5,1383264000
2013-12,47,3,1385856000
2014-01,49,4,1388534400
2014-02,66,4,1391212800
2014-03,30,4,1393632000
2014-04,6,2,1396310400
2014-05,12,2,1398902400
2014-06,10,2,1401580800
2014-07,13,3,1404172800
2014-08,14,6,1406851200
2014-09,13,4,1409529600
2014-10,34,4,1412121600
2014-11,12,5,1414800000
2014-12,10,4,1417392000
2015-01,5,2,1420070400
2015-02,8,1,1422748800
2015-03,5,2,1425168000
2015-04,11,3,1427846400
2015-05,23,5,1430438400
2015-06,9,3,1433116800
2015-07,34,7,1435708800
2015-08,19,6,1438387200
2015-09,15,5,1441065600
2015-10,15,4,1443657600
2015-11,8,3,1446336000
2015-12,47,7,1448928000
2016-01,52,7,1451606400
2016-02,70,8,1454284800
2016-03,51,9,1456790400
2016-04,13,5,1459468800
2016-05,75,7,1462060800
2016-06,44,8,1464739200
2016-07,29,5,1467331200
2016-08,50,5,1470009600
2016-09,45,8,1472688000
2016-10,65,7,1475280000
2016-11,86,9,1477958400
2016-12,130,13,1480550400
2017-01,174,17,1483228800
2017-02,180,20,1485907200
2017-03,113,10,1488326400
2017-04,87,10,1491004800
2017-05,225,17,1493596800
2017-06,133,13,1496275200
2017-07,78,7,1498867200
2017-08,142,12,1501545600
2017-09,196,13,1504224000
2017-10,242,15,1506816000
2017-11,334,18,1509494400
2017-12,294,16,1512086400
2018-01,186,14,1514764800
2018-02,77,12,1517443200
2018-03,228,14,1519862400
2018-04,222,10,1522540800
2018-05,183,14,1525132800
2018-06,123,18,1527811200
2018-07,165,14,1530403200
2018-08,267,18,1533081600
2018-09,133,12,1535760000
2018-10,351,21,1538352000
2018-11,296,18,1541030400
2018-12,411,27,1543622400
2019-01,348,21,1546300800
2019-02,382,17,1548979200
2019-03,521,24,1551398400
2019-04,298,18,1554076800
2019-05,234,17,1556668800
2019-06,353,19,1559347200
2019-07,414,23,1561939200
2019-08,436,22,1564617600
2019-09,590,24,1567296000
2019-10,480,26,1569888000
2019-11,382,23,1572566400
2019-12,299,17,1575158400
2020-01,474,18,1577836800
2020-02,280,17,1580515200
2020-03,255,16,1583020800
2020-04,343,18,1585699200
2020-05,442,17,1588291200
2020-06,286,16,1590969600
2020-07,191,13,1593561600
2020-08,228,19,1596240000
2020-09,49,9,1598918400
