YYYY-MM,nCommits,nAuthors,timestamp
2011-09,1,1,1314835200
2016-12,1,1,1480550400
2017-04,1,1,1491004800
2017-08,8,1,1501545600
2017-09,176,3,1504224000
2017-10,87,3,1506816000
2017-11,62,3,1509494400
2017-12,88,5,1512086400
2018-01,72,4,1514764800
2018-02,80,4,1517443200
2018-03,82,2,1519862400
2018-04,79,4,1522540800
2018-05,40,7,1525132800
2018-06,40,4,1527811200
2018-07,24,2,1530403200
2018-08,54,4,1533081600
2018-09,69,4,1535760000
2018-10,123,5,1538352000
2018-11,96,4,1541030400
2018-12,105,4,1543622400
2019-01,85,3,1546300800
2019-02,87,7,1548979200
2019-03,105,4,1551398400
2019-04,232,6,1554076800
2019-05,139,9,1556668800
2019-06,77,12,1559347200
2019-07,80,5,1561939200
2019-08,28,3,1564617600
2019-09,60,2,1567296000
2019-10,54,3,1569888000
2019-11,60,5,1572566400
2019-12,116,3,1575158400
2020-01,66,3,1577836800
2020-02,115,6,1580515200
2020-03,174,7,1583020800
2020-04,80,5,1585699200
2020-05,66,6,1588291200
2020-06,77,2,1590969600
2020-07,103,6,1593561600
2020-08,73,6,1596240000
2020-09,7,2,1598918400
