YYYY-MM,nCommits,nAuthors,timestamp
2012-01,7,3,1325376000
2012-06,1,1,1338508800
2012-09,16,3,1346457600
2012-10,7,4,1349049600
2012-11,1,1,1351728000
2013-01,8,1,1356998400
2013-02,3,1,1359676800
2013-03,17,1,1362096000
2013-04,11,2,1364774400
2013-05,8,1,1367366400
2013-06,3,2,1370044800
2013-07,21,3,1372636800
2013-08,37,5,1375315200
2013-09,63,3,1377993600
2013-10,97,7,1380585600
2013-11,69,7,1383264000
2013-12,34,6,1385856000
2014-01,22,2,1388534400
2014-02,10,5,1391212800
2014-03,45,7,1393632000
2014-04,36,9,1396310400
2014-05,50,8,1398902400
2014-06,30,7,1401580800
2014-07,94,12,1404172800
2014-08,67,10,1406851200
2014-09,78,7,1409529600
2014-10,98,14,1412121600
2014-11,108,21,1414800000
2014-12,125,22,1417392000
2015-01,139,19,1420070400
2015-02,61,12,1422748800
2015-03,66,16,1425168000
2015-04,101,20,1427846400
2015-05,82,19,1430438400
2015-06,118,26,1433116800
2015-07,70,21,1435708800
2015-08,119,16,1438387200
2015-09,99,16,1441065600
2015-10,132,23,1443657600
2015-11,92,10,1446336000
2015-12,33,10,1448928000
2016-01,42,11,1451606400
2016-02,73,17,1454284800
2016-03,52,16,1456790400
2016-04,33,14,1459468800
2016-05,16,14,1462060800
2016-06,4,2,1464739200
2016-07,10,8,1467331200
2016-08,7,6,1470009600
2016-09,10,8,1472688000
2016-10,19,14,1475280000
2016-11,27,19,1477958400
2016-12,27,21,1480550400
2017-01,3,3,1483228800
2017-02,5,5,1485907200
2017-03,6,5,1488326400
2017-04,22,18,1491004800
2017-05,20,16,1493596800
2017-06,12,9,1496275200
2017-07,42,37,1498867200
2017-08,2,1,1501545600
2017-09,6,4,1504224000
2017-10,10,6,1506816000
2017-12,6,3,1512086400
2018-01,2,1,1514764800
2018-03,4,3,1519862400
2018-04,2,2,1522540800
