YYYY-MM,nCommits,nAuthors,timestamp
2012-05,6,1,1335830400
2012-06,5,1,1338508800
2012-07,7,1,1341100800
2012-08,15,1,1343779200
2012-11,2,1,1351728000
2012-12,1,1,1354320000
2013-04,3,1,1364774400
2013-06,3,2,1370044800
2013-07,3,1,1372636800
2013-09,5,3,1377993600
2013-10,2,1,1380585600
2013-11,2,2,1383264000
2013-12,13,3,1385856000
2014-02,2,1,1391212800
2014-03,6,1,1393632000
2014-07,1,1,1404172800
2014-08,1,1,1406851200
2014-09,3,2,1409529600
2014-12,1,1,1417392000
2015-05,6,1,1430438400
2015-06,29,2,1433116800
2015-07,4,1,1435708800
2015-08,1,1,1438387200
2016-01,1,1,1451606400
2016-03,48,5,1456790400
2016-04,42,2,1459468800
2016-05,30,4,1462060800
2016-06,11,1,1464739200
2016-07,37,4,1467331200
2016-08,34,3,1470009600
2016-09,24,3,1472688000
2016-10,19,1,1475280000
2016-11,43,1,1477958400
2016-12,14,3,1480550400
2017-01,11,3,1483228800
2017-02,57,5,1485907200
2017-03,45,5,1488326400
2017-04,38,3,1491004800
2017-05,47,3,1493596800
2017-06,45,6,1496275200
2017-07,19,2,1498867200
2017-08,75,7,1501545600
2017-09,94,11,1504224000
2017-10,48,8,1506816000
2017-11,31,6,1509494400
2017-12,45,8,1512086400
2018-01,79,12,1514764800
2018-02,90,14,1517443200
2018-03,114,7,1519862400
2018-04,89,10,1522540800
2018-05,85,8,1525132800
2018-06,87,10,1527811200
2018-07,118,10,1530403200
2018-08,111,15,1533081600
2018-09,77,9,1535760000
2018-10,198,17,1538352000
2018-11,91,10,1541030400
2018-12,61,10,1543622400
2019-01,68,10,1546300800
2019-02,36,6,1548979200
2019-03,35,12,1551398400
2019-04,35,8,1554076800
2019-05,91,15,1556668800
2019-06,98,11,1559347200
2019-07,95,9,1561939200
2019-08,42,6,1564617600
2019-09,128,11,1567296000
2019-10,310,17,1569888000
2019-11,127,11,1572566400
2019-12,128,10,1575158400
2020-01,149,8,1577836800
2020-02,64,11,1580515200
2020-03,78,10,1583020800
2020-04,33,8,1585699200
2020-05,20,7,1588291200
2020-06,65,8,1590969600
2020-07,733,24,1593561600
2020-08,245,13,1596240000
2020-09,32,12,1598918400
