YYYY-MM,nCommits,nAuthors,timestamp
2011-03,20,4,1298937600
2011-04,224,3,1301616000
2011-05,150,3,1304208000
2011-06,212,3,1306886400
2011-07,354,5,1309478400
2011-08,302,4,1312156800
2011-09,171,3,1314835200
2011-10,83,3,1317427200
2011-11,377,3,1320105600
2011-12,221,6,1322697600
2012-01,280,7,1325376000
2012-02,165,7,1328054400
2012-03,186,5,1330560000
2012-04,175,5,1333238400
2012-05,245,6,1335830400
2012-06,207,6,1338508800
2012-07,266,5,1341100800
2012-08,216,6,1343779200
2012-09,163,4,1346457600
2012-10,189,6,1349049600
2012-11,63,5,1351728000
2012-12,51,6,1354320000
2013-01,77,4,1356998400
2013-02,56,4,1359676800
2013-03,123,4,1362096000
2013-04,108,5,1364774400
2013-05,101,5,1367366400
2013-06,86,5,1370044800
2013-07,79,4,1372636800
2013-08,109,5,1375315200
2013-09,103,5,1377993600
2013-10,81,9,1380585600
2013-11,122,5,1383264000
2013-12,209,8,1385856000
2014-01,375,12,1388534400
2014-02,183,7,1391212800
2014-03,149,5,1393632000
2014-04,96,4,1396310400
2014-05,292,9,1398902400
2014-06,76,4,1401580800
2014-07,190,6,1404172800
2014-08,174,4,1406851200
2014-09,177,6,1409529600
2014-10,121,5,1412121600
2014-11,185,7,1414800000
2014-12,142,5,1417392000
2015-01,114,4,1420070400
2015-02,115,6,1422748800
2015-03,66,6,1425168000
2015-04,58,3,1427846400
2015-05,74,2,1430438400
2015-06,94,4,1433116800
2015-07,63,4,1435708800
2015-08,51,2,1438387200
2015-09,77,4,1441065600
2015-10,44,3,1443657600
2015-11,29,4,1446336000
2015-12,31,3,1448928000
2016-01,36,3,1451606400
2016-02,13,2,1454284800
2016-03,42,2,1456790400
2016-04,36,2,1459468800
2016-05,30,3,1462060800
2016-06,33,2,1464739200
2016-07,110,7,1467331200
2016-08,93,6,1470009600
2016-09,35,3,1472688000
2016-10,24,5,1475280000
2016-11,24,7,1477958400
2016-12,31,2,1480550400
2017-01,60,3,1483228800
2017-02,68,4,1485907200
2017-03,1,1,1488326400
2017-04,15,2,1491004800
2017-05,20,2,1493596800
2017-06,8,2,1496275200
2017-07,7,2,1498867200
2017-08,5,2,1501545600
2017-09,3,1,1504224000
2018-01,34,3,1514764800
2018-02,14,1,1517443200
2018-03,9,1,1519862400
2018-04,4,1,1522540800
2018-05,2,2,1525132800
2018-08,3,1,1533081600
2018-09,2,1,1535760000
2018-10,8,1,1538352000
2018-11,2,1,1541030400
2018-12,5,2,1543622400
2019-01,4,1,1546300800
2019-03,2,1,1551398400
2019-04,3,1,1554076800
2019-05,2,1,1556668800
2019-06,2,1,1559347200
2019-07,1,1,1561939200
2019-08,8,1,1564617600
2019-10,2,1,1569888000
2019-11,1,1,1572566400
2020-02,2,1,1580515200
2020-03,58,7,1583020800
2020-04,97,11,1585699200
2020-05,85,11,1588291200
2020-06,123,12,1590969600
2020-07,108,9,1593561600
2020-08,163,15,1596240000
2020-09,2,2,1598918400
