YYYY-MM,nCommits,nAuthors,timestamp
2013-11,1,1,1383264000
2014-03,2,2,1393632000
2014-04,3,3,1396310400
2014-05,19,5,1398902400
2014-06,57,6,1401580800
2014-07,39,4,1404172800
2014-08,158,7,1406851200
2014-09,65,6,1409529600
2014-10,18,6,1412121600
2014-11,13,3,1414800000
2014-12,83,11,1417392000
2015-01,16,5,1420070400
2015-02,44,8,1422748800
2015-03,119,10,1425168000
2015-04,139,10,1427846400
2015-05,150,10,1430438400
2015-06,227,11,1433116800
2015-07,210,14,1435708800
2015-08,180,10,1438387200
2015-09,130,9,1441065600
2015-10,146,9,1443657600
2015-11,94,12,1446336000
2015-12,156,16,1448928000
2016-01,168,15,1451606400
2016-02,192,15,1454284800
2016-03,340,14,1456790400
2016-04,376,25,1459468800
2016-05,325,21,1462060800
2016-06,240,16,1464739200
2016-07,133,16,1467331200
2016-08,268,23,1470009600
2016-09,379,22,1472688000
2016-10,491,22,1475280000
2016-11,320,18,1477958400
2016-12,191,16,1480550400
2017-01,208,16,1483228800
2017-02,190,13,1485907200
2017-03,237,11,1488326400
2017-04,160,13,1491004800
2017-05,89,18,1493596800
2017-06,91,13,1496275200
2017-07,38,10,1498867200
2017-08,178,20,1501545600
2017-09,189,19,1504224000
2017-10,115,20,1506816000
2017-11,71,16,1509494400
2017-12,53,12,1512086400
2018-01,33,11,1514764800
2018-02,56,13,1517443200
2018-03,57,13,1519862400
2018-04,88,12,1522540800
2018-05,41,8,1525132800
2018-06,127,16,1527811200
2018-07,97,13,1530403200
2018-08,212,19,1533081600
2018-09,102,16,1535760000
2018-10,130,18,1538352000
2018-11,65,12,1541030400
2018-12,113,18,1543622400
2019-01,90,15,1546300800
2019-02,126,12,1548979200
2019-03,186,12,1551398400
2019-04,172,14,1554076800
2019-05,156,14,1556668800
2019-06,156,13,1559347200
2019-07,106,13,1561939200
2019-08,82,9,1564617600
2019-09,28,5,1567296000
2019-10,132,5,1569888000
2019-11,75,10,1572566400
2019-12,93,11,1575158400
2020-01,158,14,1577836800
2020-02,43,9,1580515200
2020-03,151,12,1583020800
2020-04,109,12,1585699200
2020-05,120,17,1588291200
2020-06,140,18,1590969600
2020-07,85,9,1593561600
2020-08,132,13,1596240000
