YYYY-MM,nCommits,nAuthors,timestamp
2015-11,2,1,1446336000
2015-12,76,6,1448928000
2016-01,148,7,1451606400
2016-02,115,8,1454284800
2016-03,133,8,1456790400
2016-04,133,5,1459468800
2016-05,261,8,1462060800
2016-06,148,5,1464739200
2016-07,263,5,1467331200
2016-08,238,6,1470009600
2016-09,447,6,1472688000
2016-10,330,5,1475280000
2016-11,479,8,1477958400
2016-12,470,6,1480550400
2017-01,411,6,1483228800
2017-02,372,7,1485907200
2017-03,370,5,1488326400
2017-04,480,6,1491004800
2017-05,521,8,1493596800
2017-06,260,7,1496275200
2017-07,215,6,1498867200
2017-08,306,12,1501545600
2017-09,426,9,1504224000
2017-10,543,8,1506816000
2017-11,338,7,1509494400
2017-12,231,7,1512086400
2018-01,288,8,1514764800
2018-02,354,7,1517443200
2018-03,262,7,1519862400
2018-04,262,8,1522540800
2018-05,195,5,1525132800
2018-06,149,5,1527811200
2018-07,202,5,1530403200
2018-08,146,6,1533081600
2018-09,163,7,1535760000
2018-10,273,8,1538352000
2018-11,365,8,1541030400
2018-12,257,6,1543622400
2019-01,183,13,1546300800
2019-02,149,10,1548979200
2019-03,166,8,1551398400
2019-04,98,7,1554076800
2019-05,59,5,1556668800
2019-06,128,6,1559347200
2019-07,115,7,1561939200
2019-08,255,17,1564617600
2019-09,201,11,1567296000
2019-10,235,9,1569888000
2019-11,218,11,1572566400
2019-12,161,8,1575158400
2020-01,257,10,1577836800
2020-02,304,13,1580515200
2020-03,340,15,1583020800
2020-04,346,13,1585699200
2020-05,371,15,1588291200
2020-06,315,15,1590969600
2020-07,139,15,1593561600
2020-08,198,12,1596240000
2020-09,28,8,1598918400
