YYYY-MM,nCommits,nAuthors,timestamp
2005-02,38,7,1107216000
2005-03,35,8,1109635200
2005-04,49,9,1112313600
2005-05,85,14,1114905600
2005-06,13,6,1117584000
2005-07,24,6,1120176000
2005-08,4,3,1122854400
2005-10,21,5,1128124800
2005-11,114,14,1130803200
2005-12,140,16,1133395200
2006-01,63,10,1136073600
2006-02,31,9,1138752000
2006-03,54,9,1141171200
2006-04,82,8,1143849600
2006-05,67,11,1146441600
2006-06,128,12,1149120000
2006-07,42,9,1151712000
2006-08,128,16,1154390400
2006-09,116,10,1157068800
2006-10,67,9,1159660800
2006-11,61,12,1162339200
2006-12,46,13,1164931200
2007-01,11,7,1167609600
2007-02,60,13,1170288000
2007-03,129,13,1172707200
2007-04,99,13,1175385600
2007-05,134,16,1177977600
2007-06,103,13,1180656000
2007-07,75,13,1183248000
2007-08,130,14,1185926400
2007-09,98,11,1188604800
2007-10,51,12,1191196800
2007-11,102,14,1193875200
2007-12,79,10,1196467200
2008-01,76,10,1199145600
2008-02,57,9,1201824000
2008-03,103,13,1204329600
2008-04,96,11,1207008000
2008-05,131,13,1209600000
2008-06,105,14,1212278400
2008-07,75,11,1214870400
2008-08,75,10,1217548800
2008-09,54,7,1220227200
2008-10,94,11,1222819200
2008-11,91,8,1225497600
2008-12,53,7,1228089600
2009-01,61,5,1230768000
2009-02,67,10,1233446400
2009-03,117,11,1235865600
2009-04,105,11,1238544000
2009-05,115,11,1241136000
2009-06,104,12,1243814400
2009-07,96,10,1246406400
2009-08,66,10,1249084800
2009-09,125,10,1251763200
2009-10,43,9,1254355200
2009-11,46,7,1257033600
2009-12,36,7,1259625600
2010-01,40,6,1262304000
2010-02,40,9,1264982400
2010-03,76,8,1267401600
2010-04,90,8,1270080000
2010-05,85,6,1272672000
2010-06,46,6,1275350400
2010-07,34,9,1277942400
2010-08,72,10,1280620800
2010-09,36,7,1283299200
2010-10,48,8,1285891200
2010-11,115,7,1288569600
2010-12,77,6,1291161600
2011-01,77,7,1293840000
2011-02,47,5,1296518400
2011-03,65,7,1298937600
2011-04,46,7,1301616000
2011-05,79,8,1304208000
2011-06,73,8,1306886400
2011-07,22,3,1309478400
