YYYY-MM,nCommits,nAuthors,timestamp
2005-11,63,3,1130803200
2005-12,58,2,1133395200
2006-01,47,2,1136073600
2006-02,18,2,1138752000
2006-03,30,1,1141171200
2006-04,108,3,1143849600
2006-05,106,4,1146441600
2006-06,85,6,1149120000
2006-07,111,6,1151712000
2006-08,57,7,1154390400
2006-09,131,5,1157068800
2006-10,103,7,1159660800
2006-11,22,5,1162339200
2006-12,31,3,1164931200
2007-01,108,4,1167609600
2007-02,40,5,1170288000
2007-03,42,4,1172707200
2007-05,57,2,1177977600
2007-06,65,1,1180656000
2007-07,139,2,1183248000
2007-08,54,1,1185926400
2007-09,58,1,1188604800
2007-10,99,4,1191196800
2007-11,95,5,1193875200
2007-12,84,2,1196467200
2008-01,96,7,1199145600
2008-02,132,4,1201824000
2008-03,142,6,1204329600
2008-04,162,6,1207008000
2008-05,178,9,1209600000
2008-06,162,9,1212278400
2008-07,124,8,1214870400
2008-08,155,6,1217548800
2008-09,179,5,1220227200
2008-10,222,14,1222819200
2008-11,111,8,1225497600
2008-12,144,9,1228089600
2009-01,286,12,1230768000
2009-02,270,14,1233446400
2009-03,385,15,1235865600
2009-04,758,13,1238544000
2009-05,417,16,1241136000
2009-06,384,15,1243814400
2009-07,424,14,1246406400
2009-08,364,11,1249084800
2009-09,412,17,1251763200
2009-10,396,19,1254355200
2009-11,312,12,1257033600
2009-12,342,10,1259625600
2010-01,403,14,1262304000
2010-02,161,10,1264982400
2010-03,277,14,1267401600
2010-04,229,13,1270080000
2010-05,245,9,1272672000
2010-06,115,9,1275350400
2010-07,211,7,1277942400
2010-08,120,11,1280620800
2010-09,87,8,1283299200
2010-10,67,10,1285891200
2010-11,57,10,1288569600
2010-12,196,7,1291161600
2011-01,86,7,1293840000
2011-02,186,8,1296518400
2011-03,155,6,1298937600
2011-04,61,6,1301616000
2011-05,229,8,1304208000
2011-06,103,10,1306886400
2011-07,81,8,1309478400
2011-08,28,6,1312156800
2011-09,29,4,1314835200
2011-10,99,7,1317427200
2011-11,154,6,1320105600
2011-12,16,6,1322697600
2012-01,72,5,1325376000
2012-02,46,3,1328054400
2012-03,16,3,1330560000
2012-04,21,5,1333238400
2012-05,59,5,1335830400
2012-06,7,2,1338508800
2012-08,19,6,1343779200
2012-09,75,4,1346457600
2012-10,50,5,1349049600
2012-11,41,4,1351728000
2012-12,5,3,1354320000
2013-01,11,3,1356998400
2013-02,23,3,1359676800
2013-03,20,3,1362096000
2013-04,27,4,1364774400
2013-05,15,4,1367366400
2013-06,1,1,1370044800
2013-07,2,1,1372636800
2013-08,2,1,1375315200
2013-09,2,1,1377993600
2013-10,2,1,1380585600
2013-11,13,2,1383264000
2013-12,5,2,1385856000
2014-01,5,2,1388534400
2014-03,26,3,1393632000
2014-04,28,2,1396310400
2014-05,4,1,1398902400
2014-06,10,2,1401580800
2014-07,10,2,1404172800
2014-08,8,1,1406851200
